"feature_id_full","feature_id","feature_mz","feature_rt","pDelta_vs_psDelta_p_value","pDelta_vs_sDelta_p_value","pDelta_vs_WT_p_value","psDelta_vs_sDelta_p_value","psDelta_vs_WT_p_value","sDelta_vs_WT_p_value","pDelta_vs_psDelta_p_value_minus_log10","pDelta_vs_sDelta_p_value_minus_log10","pDelta_vs_WT_p_value_minus_log10","psDelta_vs_sDelta_p_value_minus_log10","psDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","psDelta_vs_WT_fold_change","pDelta_vs_WT_fold_change","psDelta_vs_sDelta_fold_change","pDelta_vs_sDelta_fold_change","pDelta_vs_psDelta_fold_change","sDelta_vs_WT_fold_change_log2","psDelta_vs_WT_fold_change_log2","pDelta_vs_WT_fold_change_log2","psDelta_vs_sDelta_fold_change_log2","pDelta_vs_sDelta_fold_change_log2","pDelta_vs_psDelta_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"81_131.12_0.5",81,131.118053803546,0.5438816,0.00126710521472495,0.0990375674742021,0.103009514227112,0.062239978914833,0.0599537830940694,0.999994390670864,2.89718732175643,1.00420003518083,0.987122660872416,1.20593056314519,1.22218340764367,2.43610752330021e-06,0.995919534321144,0.655942363840689,1.75459994400915,0.658629880462987,1.76178886299801,2.67493005595123,-0.0058989109528251,-0.608359040797463,0.811142127631626,-0.602460129844638,0.817041038584451,1.41950116842909,"Alkaloids","Ornithine alkaloids","Polyamines","Acetylputrescine",NA,"CC(=O)NCCCCN","CC(=O)NCCCCN",NA,NA,NA,NA,"KLZGKIDSEJWEDW","InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)","KLZGKIDSEJWEDW-UHFFFAOYSA-N","InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)","KLZGKIDSEJWEDW"
"174_157.02_0.8",174,157.024603127771,0.80830365,0.00646877033274162,0.999994155930402,0.0764881058110441,0.00623158004418434,0.372219222405269,0.0734439838096803,2.18917826777953,2.53805459442794e-06,1.11640609402603,2.20540182212606,0.429201202486896,1.13404377380523,1.52340724124802,0.815543242044944,1.51631762288999,0.535341581661925,0.995346209361447,1.8592731135726,0.6073016584323,-0.294166720795247,0.60057198634008,-0.901468379227547,-0.00672967209221945,0.894738707135328,"Alkaloids","Pseudoalkaloids","Aminoacids","Orotonin",NA,NA,"C1=C(NC(=O)NC1=O)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)","PXQPEWDEAKTCGB"
"70_197.03_0.5",70,197.032362393603,0.50074196,0.00873121218344941,0.973311540969524,0.0363428086997687,0.00461713365434024,0.70052075616488,0.0179000160880363,2.05892545755017,0.0117481269794307,1.43958151192963,2.33562755354019,0.154578992206434,1.74714657868814,2.26746621546943,0.845895378074669,1.97513251364046,0.373057544277256,0.871074726567227,2.3349607585468,1.18108105521341,-0.241448855734309,0.981949448408057,-1.42252991094772,-0.199131606805357,1.22339830414237,NA,NA,NA,NA,"COC(=O)C(CC1=CC=C(C=C1)O)N",NA,NA,"InChI=1S/C10H13NO3/c1-14-10(13)9(11)6-7-2-4-8(12)5-3-7/h2-5,9,12H,6,11H2,1H3/t9-/m0/s1",NA,"MWZPENIJLUWBSY-UHFFFAOYSA-N","MWZPENIJLUWBSY",NA,NA,NA,NA,NA
"122_180.09_0.6",122,180.086695265937,0.6089297,0.0112085287546861,0.000134099920975128,0.00439254896139485,0.122662726795014,0.994722351072407,0.135729661202943,1.95045138969356,3.87257147807738,2.35728338895729,0.911287385165688,0.00229812349955795,0.867325234955338,1.38519274516286,0.970540882491203,0.657779199673734,0.700654032357855,0.474864744975544,0.677744968336968,0.470086736666711,-0.0431391094341923,-0.604324706966425,-0.513225846100903,-1.07441144363314,-0.561185597532232,"Amino acids and Peptides","Small peptides","Aminosugars","Manosamine","C([C@@H]1[C@H]([C@@H]([C@@H](C(O)O1)O)O)O)O","NC(CCC(=O)O)C(=O)O","C(C(C(C(C(C=O)N)O)O)O)O","\"\"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1\"\"",NA,"WQZGKKKJIJFFOK-QTVWNMPRSA-N","WQZGKKKJIJFFOK","WHUUTDBJXJRKMK","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)","WHUUTDBJXJRKMK-UHFFFAOYSA-N","InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2","FZHXIRIBWMQPQF"
"77_141.07_0.5",77,141.06594413898,0.53111553,0.0119142769205278,0.983120024511678,0.0332016534141668,0.0207772039364504,0.827256997209648,0.0605234524903656,1.92393230992296,0.00739345795517172,1.47884028826075,1.68241289742727,0.0823595507481192,1.21807630611567,1.77665829102367,0.877568283819521,1.96693693902069,0.493943201263473,1.10709918106277,2.24134916369106,0.82916623102853,-0.188416708621108,0.975950704835299,-1.01758293964964,0.146784473806769,1.16436741345641,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","ACMC-20dntv",NA,"O=C(O)c1ccccn1|O=C(O)c1cccnc1","CN1C=CN=C1CC(=O)O",NA,NA,NA,NA,"SIOXPEMLGUPBBT|PVNIIMVLHYAWGP","InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)|InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)","SIOXPEMLGUPBBT-UHFFFAOYSA-N|PVNIIMVLHYAWGP-UHFFFAOYSA-N","InChI=1S/C6H8N2O2/c1-8-3-2-7-5(8)4-6(9)10/h2-3H,4H2,1H3,(H,9,10)","MGIKMFCKRKDEIK"
"78_159.08_0.5",78,159.076472506333,0.5322659,0.0127824332735694,0.9933938033352,0.0370224509227772,0.0191244998889138,0.818550673585445,0.057191802100363,1.89338646568503,0.00287855340635042,1.43153483390823,1.7184099129495,0.0869544297800458,1.24266621871976,1.81792960652841,0.8734539290116,1.96096842770815,0.480466309517663,1.07868226617031,2.24507368113529,0.86229633689254,-0.195196485780099,0.971566307811778,-1.05749282267264,0.109269970919238,1.16676279359188,"Amino acids and Peptides","Histidine alkaloids","Imidazole alkaloids","1,2,3-Propanetriol, 1-(1H-imidazol-4-yl)-",NA,"CC(=O)NCC(=O)O|O=C(O)Cc1cnc[nH]1","C1=C(NC=N1)C(C(CO)O)O",NA,NA,NA,NA,"OKJIRPAQVSHGFK|PRJKNHOMHKJCEJ","InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)|InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)","OKJIRPAQVSHGFK-UHFFFAOYSA-N|PRJKNHOMHKJCEJ-UHFFFAOYSA-N","InChI=1S/C6H10N2O3/c9-2-5(10)6(11)4-1-7-3-8-4/h1,3,5-6,9-11H,2H2,(H,7,8)","ABDKJICLXDSVKH"
"115_203.05_0.6",115,203.052664086245,0.59369534,0.0151301855756275,0.000195406267596177,0.504425138127544,0.139635735047242,0.135557857242826,0.00152964823237656,1.82015574521034,3.70906151053137,0.297203278407364,0.855003424493601,0.867875304654455,2.81540843081802,2.34280157284508,1.40394141249056,0.862279743067304,0.599257499552392,0.368054961658642,0.614184990481648,1.22823476811694,0.489482732171726,-0.213772106706447,-0.738752035945214,-1.44200687482339,-0.703254838878173,NA,NA,NA,NA,"CCCC(=O)N[C@@H](CC(=O)O)C(=O)O",NA,NA,"InChI=1S/C8H13NO5/c1-2-3-6(10)9-5(8(13)14)4-7(11)12/h5H,2-4H2,1H3,(H,9,10)(H,11,12)(H,13,14)/t5-/m0/s1",NA,"AKENSLPCKUWJFX-YFKPBYRVSA-N","AKENSLPCKUWJFX",NA,NA,NA,NA,NA
"94_148.08_0.6",94,148.079492563208,0.56655645,0.0261392243630818,1,1,0.0261392243630818,0.0261392243630818,1,1.5827073035126,0,0,1.5827073035126,1.5827073035126,0,1,0.116080913821781,1,0.116080913821781,1,8.61468063160922,0,-3.10679731302201,0,-3.10679731302201,0,3.10679731302201,"Fatty acids","Fatty acyls","Hydrocarbons","5-methylthiopentanaldoxime","C(CC(=O)O)C(C(=O)O)N",NA,"CSCCCCC=NO","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",NA,"WHUUTDBJXJRKMK-UHFFFAOYSA-N","WHUUTDBJXJRKMK",NA,NA,NA,"InChI=1S/C6H13NOS/c1-9-6-4-2-3-5-7-8/h5,8H,2-4,6H2,1H3","KNFFJJFEYQLINT"
"201_175.12_1.1",201,175.119140068451,1.1035658,0.0275809978507697,1,1,0.0275809978507697,0.0275809978507697,1,1.55939002556975,0,0,1.55939002556975,1.55939002556975,0,1,0.0153964568396796,1,0.0153964568396796,1,64.9500083306706,0,-6.02125780560465,0,-6.02125780560465,0,6.02125780560465,"Amino acids and Peptides","Small peptides","Aminoacids","arginine","C(C[C@@H](C(=O)O)N)CN=C(N)N","NC(N)=NCCCC(N)C(=O)O","C(CC(C(=O)O)N)CN=C(N)N","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",NA,"ODKSFYDXXFIFQN-BYPYZUCNSA-N","ODKSFYDXXFIFQN","ODKSFYDXXFIFQN","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)","ODKSFYDXXFIFQN-UHFFFAOYSA-N","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)","ODKSFYDXXFIFQN"
"236_235.17_1.6",236,235.165393744158,1.6042376,0.0305276760458317,0.774212461221057,0.257860116571037,0.00697974999631668,0.477447169126006,0.0575192313675226,1.51530625560592,0.111139842838828,0.588615825340105,2.15616013284455,0.321074677329283,1.24018692608613,2.15171761188288,0.773041554207989,1.56160739860143,0.359267196559093,0.725749229349354,2.02008209015537,1.10548875323456,-0.371382127776718,0.643031793246731,-1.47687088101128,-0.462456959987827,1.01441392102345,"Amino acids and Peptides","Small peptides","Dipeptides","null",NA,"CC(C)C(N)C(=O)O|C[N+](C)(C)CC(=O)[O-]","C(CCN)CCNCC(=O)C(C(CO)O)O",NA,NA,NA,NA,"KZSNJWFQEVHDMF|KWIUHFFTVRNATP","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)|InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3","KZSNJWFQEVHDMF-UHFFFAOYSA-N|KWIUHFFTVRNATP-UHFFFAOYSA-N","InChI=1S/C10H22N2O4/c11-4-2-1-3-5-12-6-8(14)10(16)9(15)7-13/h9-10,12-13,15-16H,1-7,11H2","BZKXSLSRJJQPEX"
