"feature_id_full","feature_id","feature_mz","feature_rt","sDelta_vs_WT_p_value","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","sDelta_vs_WT_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"182_265.11_0.8",182,265.112067584734,0.822463,6.02395590058621e-08,7.22011821612378,476.320738302548,8.89578955265872,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","Begiolan",NA,NA,"CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1","JZRWCGZRTZMZEH"
"215_195.98_1.2",215,195.977467608991,1.1953357,8.82848209211353e-07,6.0541139595806,3.55287600749297,1.82898734065438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36_148.12_0.5",36,148.116013017668,0.45616096,3.00257310880709e-06,5.52250640928228,0.0584907379954755,-4.0956479976581,"Fatty acids","Fatty acyls","Polyamines","N-Diaethylhomocysteamin","C(CC(=O)O)C(C(=O)O)N",NA,"CCN(CC)CCCS","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",NA,"WHUUTDBJXJRKMK-UHFFFAOYSA-N","WHUUTDBJXJRKMK",NA,NA,NA,"InChI=1S/C7H17NS/c1-3-8(4-2)6-5-7-9/h9H,3-7H2,1-2H3","XQFQYOHHVAEHPL"
"163_124.04_0.8",163,124.039674463119,0.7684775,4.89998886202388e-06,5.30980490714844,6.38591534793758,2.67489342858604,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","Direktan","O=C(O)c1cccnc1",NA,"C1=CC(=CN=C1)C(=O)O","\"\"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)\"\"",NA,"PVNIIMVLHYAWGP-UHFFFAOYSA-N","PVNIIMVLHYAWGP",NA,NA,NA,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)","PVNIIMVLHYAWGP"
"160_148.04_0.8",160,148.043070633532,0.7666405,6.69378428444887e-06,5.17432828743433,7.57748388087793,2.92171887805517,"Amino acids and Peptides","Small peptides","Aminoacids","bmse000397",NA,NA,"CS(=O)CCC(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)","QEFRNWWLZKMPFJ"
"159_225.12_0.8",159,225.123594911628,0.76549226,1.59745262113632e-05,4.79657201372304,7.04937697811986,2.81749575817883,"Amino acids and Peptides","Peptide alkaloids","Pyrazine and Piperazine alkaloids","Nifenalol",NA,NA,"CC(C)NCC(C1=CC=C(C=C1)[N+](=O)[O-])O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C11H16N2O3/c1-8(2)12-7-11(14)9-3-5-10(6-4-9)13(15)16/h3-6,8,11-12,14H,7H2,1-2H3","UAORFCGRZIGNCI"
"60_290.85_0.5",60,290.847148426028,0.49115735,1.65508914482442e-05,4.78117860970536,1.98090703850131,0.986161177935608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54_292.85_0.5",54,292.845146481188,0.4901592,2.54330223124516e-05,4.59460202772724,1.9800505082117,0.985537231828701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52_274.87_0.5",52,274.873189078328,0.4901592,3.66801105061409e-05,4.43556936460139,2.57662513234158,1.36548265786062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61_206.89_0.5",61,206.885887266303,0.49167556,4.41924428504138e-05,4.35465199103486,2.08908716490157,1.06287268855043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156_330.07_0.8",156,330.073504711961,0.7526583,5.45895759065033e-05,4.26289027961199,4.25958128216499,2.09071162016148,"Amino acids and Peptides","Small peptides","Dipeptides","Glutinal",NA,NA,"C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)","RWSXRVCMGQZWBV"
"53_276.87_0.5",53,276.871264091591,0.4901592,6.03057698954183e-05,4.21964113373279,2.51976871374826,1.33329131672449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
