cluster index	parent mass	RTMean	ATTRIBUTE_sample_group:GNPSGROUP:WT	ATTRIBUTE_sample_group:GNPSGROUP:sDelta	ATTRIBUTE_sample_group:GNPSGROUP:pDelta	ATTRIBUTE_sample_group:GNPSGROUP:psDelta	ATTRIBUTE_sample_group:GNPSGROUP:blank	ATTRIBUTE_sample_group:GNPSGROUP:qc	component	#Scan#	Compound_Name
1	218.98365075084195	0.411397	139810.325	12935.289	46478.85125	0.0	101797.484	305972.3014285714	-1		
2	216.9507190178962	0.41185388	122842.305	0.0	60980.41875	0.0	1308096.0	204550.7228571429	15	2.0	QUINATE
3	265.01563896759586	0.4134636	278352.53750000003	19806.54875	128438.0275	122619.768	239741.75	591619.2742857143	15		
4	241.9995919981127	0.4136186	880703.965	183332.3915	414180.44	401147.62666666665	644140.2	1702497.6	15		
5	200.973157649136	0.4141958	139864.04	0.0	56596.2325	68064.92933333333	110318.65	308957.8085714285	15		
6	239.9666781944844	0.41588113	128006.52125	30418.12	64913.15	20238.54333333333	1875722.8	254307.62142857144	15		
7	198.94021633797504	0.4187065	107942.225	25643.6825	57610.7125	20716.729333333333	1251494.8	235025.70571428572	15		
8	223.9889654070403	0.4232889	448431.66	74277.436	204747.105	190085.06333333332	359996.97	1092643.28	15		
9	151.0352914627232	0.4247144	1082381.15	414145.525	699159.45	643947.2866666666	1426817.8	2084148.0285714285	15		
10	125.98647213258629	0.42576903	133888.17125	117940.71	128314.3335	76682.43533333333	3193076.5	238376.48	15		
11	301.0731611274596	0.42861518	265492.13	46510.205	160146.5575	131271.93333333332	0.0	406150.73	1		
12	283.06246699115854	0.42882633	0.0	0.0	44908.835	0.0	0.0	166106.6	1		
13	151.94976366331156	0.42971095	203297.3575	94322.0665	237385.545	110724.512	93712.24	384568.2400000001	15		
14	149.95286117830986	0.43005347	350390.5775	164402.7675	399900.09	199929.78666666665	171288.7	660804.7614285714	18		
15	215.0877412403581	0.43442538	2230049.5	862305.9625000001	1519281.7375	1783015.933333333	0.0	3302862.457142857	1		
16	255.94411349746136	0.43484733	0.0	0.0	0.0	0.0	1122344.9	0.0	15		
17	328.89781556341364	0.43484733	0.0	0.0	0.0	0.0	605100.6	0.0	15		
18	344.87541339420534	0.43484733	0.0	0.0	0.0	0.0	769808.9	0.0	15		
19	458.8558131891104	0.43484733	0.0	0.0	0.0	0.0	343194.6	0.0	15		
20	231.0652172793976	0.43502492	247432.3425	208773.0625	287148.2125	236595.04666666663	0.0	453991.6385714286	-1		
21	214.91766848145608	0.435732	0.0	16435.89	21458.51	0.0	3689008.2	0.0	15	21.0	CITRATE
22	315.1876795122976	0.43948635	551913.65	129121.3925	283244.89	425177.76	0.0	1292097.357142857	1		
23	131.08392354935486	0.4419091	22351.485	0.0	22839.1975	0.0	0.0	78986.94999999998	14		
24	147.12248405734303	0.44207144	270252.5575	0.0	155624.29125	145550.42666666667	0.0	372215.7514285714	6		
25	133.0972959043498	0.4462771	545820.4	144256.29499999998	354282.115	363828.01	0.0	901395.5657142858	16	25.0	thiamine CollisionEnergy:102040
26	130.08646019119018	0.44680312	26315057.5	7246877.0	15220911.125	16718841.0	0.0	42671926.85714286	6	26.0	PIPECOLIC ACID
27	143.9968877346864	0.44687852	0.0	0.0	0.0	0.0	264718.94	0.0	-1		
28	167.01283933222643	0.44687852	0.0	0.0	0.0	0.0	607923.56	0.0	15		
29	232.9281848043161	0.44687852	0.0	0.0	0.0	0.0	974883.2	0.0	15		
30	129.10250443053565	0.4473155	1437716.3	399544.105	834069.53	931470.7	0.0	2378732.0857142857	6		
31	147.11290414731602	0.448894	46096315.5	12690919.0	26800732.75	28792109.33333333	55098.21	76660480.57142857	6	31.0	Massbank:PB000428 Lysine|2,6-diaminohexanoic acid
32	147.10318480164477	0.4506415	221272.9925	57794.66	156321.0275	35922.04666666667	0.0	306613.1557142857	6	32.0	L-(+)-Lysine - 40.0 eV
33	148.1099063964868	0.45132676	331117.37249999994	40487.8825	197468.69125	200967.4233333333	0.0	560495.7414285714	6	33.0	Glutamic acid
34	156.07682707673072	0.45501524	826524.675	248172.035	465439.7375	317824.5833333333	0.0	1708458.4	6		
35	169.0948098433147	0.45533895	2590408.975	831411.33	1606530.765	1481142.4333333336	0.0	2824604.185714286	2	35.0	Pyridoxine - 30.0 eV
36	148.11601301766754	0.45616096	0.0	855655.7025	980954.625	436456.3333333333	0.0	0.0	6	36.0	Glutamic acid
37	266.92733238567945	0.4644327	0.0	0.0	0.0	0.0	371538.25	0.0	-1		
38	282.9049692010612	0.4644327	0.0	0.0	0.0	0.0	698379.7	0.0	15		
39	156.04216343683598	0.46650687	48471.55	436596.58	274897.8475	237074.80666666664	410418.53	39030.01171428571	6		
40	197.10097410644207	0.47442687	814709.3625	342433.805	467772.35	500345.43	0.0	885256.3842857144	26	40.0	L-arginine CollisionEnergy:102040
41	152.94707319559706	0.47676572	0.0	0.0	0.0	0.0	368657.44	0.0	15		
42	185.0687043132568	0.4799024	3868141.325	1642855.5	2623158.825	2811435.6666666665	0.0	6043413.785714285	-1		
43	207.05065005725305	0.48142168	3628011.375	1329649.25	2367992.725	2080798.566666667	0.0	4261690.714285715	2		
44	358.999235760419	0.4821121	717647.235	152201.4725	459017.9875	319313.44	0.0	631143.17	2		
45	475.07337141552216	0.48239952	503946.9875	79176.43	315010.85375	305041.25333333336	0.0	711477.9414285714	2		
46	407.0860465537119	0.48481646	539502.29	217156.75	340956.46	441962.18	0.0	930925.4857142858	2		
47	374.97327075297767	0.48720485	1952191.675	662072.5	1338453.975	1352568.4666666666	0.0	2045414.9	2		
48	223.02452840258863	0.48819247	11407783.375	4759069.25	7744109.25	9476625.166666666	0.0	15525592.285714284	2		
49	291.0118667972465	0.48822495	1286645.64	454581.9	849769.2250000001	804560.6	0.0	1404439.2285714287	2		
50	390.9471867531043	0.4886804	1961343.3	834859.625	1489218.025	2156471.4333333336	0.0	2457645.4857142856	2		
51	190.9118365016564	0.4897066	677920.9349999999	273177.3425	496884.25	559106.4766666667	0.0	528323.2942857143	-1		
52	274.8731890783275	0.4901592	2454829.8	952730.0625	1838822.8	2111927.6666666665	0.0	1848739.5	2		
53	276.87126409159083	0.4901592	512724.5175	203480.1825	406714.595	439555.6866666667	0.0	387835.3657142858	2		
54	292.84514648118835	0.4901592	1025745.385	518039.515	838899.6925	1378348.3333333333	0.0	852290.0042857144	2		
55	306.9858388065468	0.4901592	1843777.65	816212.7225	1340866.66	1794915.1666666667	0.0	2433168.0285714283	2		
56	392.94548011304033	0.4901592	583293.3150000001	239293.84750000003	424697.6435	633437.18	0.0	701157.7899999999	2		
57	208.883925866701	0.49018735	480315.9325	235008.865	387331.93	607395.7466666667	0.0	421897.34	2		
58	458.7698064463759	0.49040663	180037.135	108096.03999999998	201900.41	441319.95	0.0	161201.78714285715	2		
59	122.92469293245286	0.49065888	1613998.95	710266.3150000001	1185644.52	1687033.5	0.0	1406972.4714285715	15		
60	290.8471484260281	0.49115735	3593342.875	1813988.15	2910905.05	4773923.833333333	0.0	2965166.485714286	2		
61	206.8858872663033	0.49167556	2277493.05	1090185.225	1825949.3375	2918155.1	0.0	1951571.4714285715	2		
62	235.05675132060296	0.4917349	1431406.625	577265.7025	848468.87	826472.4533333333	0.0	1499777.6142857142	2		
63	334.99203571308794	0.49264824	610940.7050000001	284589.7575	365678.2475	614696.88	0.0	682617.6285714285	2		
64	220.9345176354899	0.49489298	0.0	0.0	0.0	0.0	864866.3	0.0	-1		
65	226.9514878916903	0.49489298	0.0	0.0	0.0	0.0	305199.16	0.0	-1		
66	288.9214506296796	0.49489298	0.0	0.0	0.0	0.0	590378.56	0.0	-1		
67	251.0306679220573	0.49561727	4305423.25	1916359.55	2631924.0	3798541.5	0.0	5251239.571428572	2		
68	213.0748285401607	0.49711654	9316040.75	4011028.45	5464167.425	6578253.333333333	0.0	12848873.57142857	15		
69	196.0483175431416	0.4976328	564992.855	246844.51	344881.7025	409545.96	0.0	773763.4342857143	18		
70	197.03236239360305	0.50074196	5116068.0	2256292.375	2590239.89	6048109.833333333	0.0	7449556.357142857	26	70.0	L_tyrosine_methyl_ester
71	334.9147967064004	0.5039697	0.0	0.0	0.0	0.0	230658.11	0.0	67		
72	350.89221540281045	0.5039697	0.0	0.0	0.0	0.0	360828.9	0.0	67		
73	195.9773544642128	0.52641565	5805712.875	2027385.35	4005149.59	5404529.833333333	0.0	6335294.071428572	18		
74	180.00328940494282	0.5298126	1794533.6999999995	625385.115	1165104.6549999998	1131810.7666666666	0.0	1630644.3857142858	18		
75	176.12227130613002	0.53004825	0.0	316516.025	262537.7	0.0	0.0	1856278.2142857143	8	75.0	ARGININE
76	222.98823545579444	0.5307552	1453536.0750000002	557758.8375	823444.7775000001	1643071.433333333	0.0	1728147.5285714285	-1	76.0	cystathionine - 30.0 eV
77	141.06594413897955	0.53111553	2676625.325	1506550.0	1360808.425	3050048.0666666664	0.0	4274259.614285714	4		
78	159.0764725063332	0.5322659	3555813.0	1955968.025	1813293.875	4070979.6	0.0	5809895.428571428	4		
