#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
843	spectra_filtered.mgf	*..*		:1012	9307	-1	0	156.077	1	0.996748	0	0	3190490.0	32914.9	L-HISTIDINE - 60.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf843	-1	GNPS-LIBRARY.mgf	0.195529				6	0	3.05176e-05	156.077	0	CCMSLIB00005884165
804	spectra_filtered.mgf	*..*		:838	9133	-1	0	170.092	1	0.992583	0	0	830404.0	107295.0	1-METHYL-L-HISTIDINE - 60.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf804	-1	GNPS-LIBRARY.mgf	6.45905				7	0	0.00109863	170.093	0	CCMSLIB00005883991
833	spectra_filtered.mgf	*..*		:1012	9307	-1	0	156.077	1	0.99257	0	0	3190490.0	201512.0	L-HISTIDINE - 60.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf833	-1	GNPS-LIBRARY.mgf	2.54188				6	0	0.000396729	156.077	0	CCMSLIB00005884165
557	spectra_filtered.mgf	*..*		:1137	9432	-1	0	162.112	1	0.987492	0	0	7140900.0	167416.0	L-CARNITINE - 50.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf557	-1	GNPS-LIBRARY.mgf	7.1535				6	0	0.00115967	162.113	0	CCMSLIB00005884290
99	spectra_filtered.mgf	*..*		:578	8873	-1	0	298.097	1	0.983908	0	0	3013300.0	67927.2	METHYLTHIOADENOSINE - 30.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf99	-1	GNPS-LIBRARY.mgf	0.102375				8	0	3.05176e-05	298.097	0	CCMSLIB00005883731
171	spectra_filtered.mgf	*..*		:1154	85	-1	0	338.244	1	0.97841	0	0	758164.0	162300.0	His-C12:0 M+H	ECG-ACYL-AMIDES-C4-C24-LIBRARY	temp/spectra_filtered.mgf171	-1	ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf	1.44358				11	0	0.000488281	338.244	0	CCMSLIB00010010683
158	spectra_filtered.mgf	*..*		:1238	257	-1	0	364.259	1	0.97737	0	0	1238130.0	184079.0	His-C14:1 M+H	ECG-ACYL-AMIDES-C4-C24-LIBRARY	temp/spectra_filtered.mgf158	-1	ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf	2.84852				13	0	0.0010376	364.26	0	CCMSLIB00010010856
446	spectra_filtered.mgf	*..*		:472	8767	-1	0	209.092	1	0.976113	0	0	1927450.0	78531.9	KYNURENINE - 50.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf446	-1	GNPS-LIBRARY.mgf	1.38655				7	0	0.000289917	209.092	0	CCMSLIB00005883625
780	spectra_filtered.mgf	*..*		:837	15057	-1	0	203.15	1	0.973289	0	0	220800000.0	69519.0	N_N_DIMETHYLARGININE M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf780	-1	GNPS-LIBRARY.mgf	3.90577				7	0	0.000793457	203.151	0	CCMSLIB00013583315
839	spectra_filtered.mgf	*..*		:1887	10182	-1	0	175.119	1	0.97146	0	0	6207360.0	123131.0	Arginine - 50.00 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf839	-1	GNPS-LIBRARY.mgf	2.70115				8	0	0.000473022	175.119	0	CCMSLIB00005885040
