feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
523	15	Amino acids and Peptides	Small peptides	Aminoacids	0.3616408	ISDB	AZFYLSFUALTNAY-UHFFFAOYSA-N	InChI=1S/C6H7N3O/c10-6-8-2-1-5-3-7-4-9(5)6/h3-4H,1-2H2,(H,8,10)	O=C1NCCc2cncn21	C6H7N3O		137.058911844	AZFYLSFUALTNAY	Alkaloids	Histidine alkaloids	Imidazole alkaloids	Dipodascus geotrichum	60018.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Dipodascaceae']	['Unknown']	['Geotrichum']	['Geotrichum candidum']	3	0	4.446563243865967
522	-1				0.67883366	ISDB	GXNFPEOUKFOTKY-LPHQIWJTSA-N	InChI=1S/C39H58O4/c1-28(2)16-11-17-29(3)18-12-19-30(4)20-13-21-31(5)22-14-23-32(6)24-15-25-33(7)26-27-35-34(8)36(40)38(42-9)39(43-10)37(35)41/h16,18,20,22,24,26H,11-15,17,19,21,23,25,27H2,1-10H3/b29-18+,30-20+,31-22+,32-24+,33-26+	COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O	C39H58O4		590.433510336	GXNFPEOUKFOTKY	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	Euglena gracilis	1073327.0	['Eukaryota']	['Unknown']	['Euglenida']	['Euglenophyceae']	['Unknown']	['Euglenaceae']	['Unknown']	['Euglena']	['Euglena gracilis']	1	0	3.71533465385437
500	9	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.4960029	ISDB							PGPMCWZMPPZJML						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	1.9840116500854492
493	9	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	0.6489421	ISDB							CEDYZXOEZCSUMJ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.595768451690674
487	13	Terpenoids	Steroids	Pregnane steroids	0.7553648	ISDB	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	Euglena gracilis	1073327.0	['Eukaryota']	['Unknown']	['Euglenida']	['Euglenophyceae']	['Unknown']	['Euglenaceae']	['Unknown']	['Euglena']	['Euglena gracilis']	1	0	4.021459102630615
487	13	Terpenoids	Steroids	Pregnane steroids	0.7553648	ISDB	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	Pseudo-nitzschia multistriata	252626.0	['Eukaryota']	['Unknown']	['Bacillariophyta']	['Bacillariophyceae']	['Unknown']	['Unknown']	['Unknown']	['Pseudo-nitzschia']	['Pseudo-nitzschia multistriata']	1	0	4.021459102630615
487	13	Terpenoids	Steroids	Pregnane steroids	0.7553648	ISDB	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	Glycine max	681762.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Glycine']	['Glycine max']	1	0	4.021459102630615
487	13	Terpenoids	Steroids	Pregnane steroids	0.7553648	ISDB	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	Raphanus sativus	359073.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Raphanus']	['Raphanus sativus']	1	0	4.021459102630615
487	13	Terpenoids	Steroids	Pregnane steroids	0.7553648	ISDB	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	Raphanus raphanistrum	376999.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Raphanus']	['Raphanus raphanistrum']	1	0	4.021459102630615
486	-1				0.0	MS1_match	WTJKGGKOPKCXLL-VYOBOKEXSA-N	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C42H82NO8P	pos_1_1proton	759.577805214	WTJKGGKOPKCXLL	Fatty acids	Glycerophospholipids	Glycerophosphocholines	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	6.0
