confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	2	2	0.9978889608845843	-0.7098626060561839	0.9999999999999999	56.6580953537661	C13H15N3O3	[M + H]+	AJHCSUXXECOXOY	InChI=1S/C13H15N3O3/c14-6-12(17)16-11(13(18)19)5-8-7-15-10-4-2-1-3-9(8)10/h1-4,7,11,15H,5-6,14H2,(H,16,17)(H,18,19)	ACMC-20aksq	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)CN	-4.04815655E-4	1551340;92181;102763;7091278;7091279;53448596;129640285	HMDB:(28852);ZINC bio:(ZINC01708201 ZINC04073391);additional;MeSH:(92181 102763);PubMed;NORMAN:(NS00048835);COCONUT:(CNP0121213);Natural Products:(UNPD44118);PubChem:(1551340 92181 102763 7091278 7091279 53448596 129640285);CHEBI:(73921);PubChem class - bio and metabolites;Training Set;PubChem class - drug;Biocyc:(CPD-20347)	53274734	262.1189	119.96	257_mapp_batch_00114_sirius_257	257
2	1	1	2	2	0.9970311791700457	-0.3478498207745539	0.9999999999999999	55.24551571337044	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09732	114.5	256_mapp_batch_00114_sirius_256	256
3	1	1	2	2	0.9946293432285146	-1.7730467444151496	0.9999999999999999	68.52125934696659	C10H16N2O3S	[M + H]+	YBJHBAHKTGYVGT	InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)	Appearex	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2	0.300000012	253;1549077;638035;171548;7005108;7048618;7048619;7048620;7048621;5315463;6347547;6419877;6560210;6604192;6604653;11184136;10444559;18717127;20848889;20848890;22297882;46780807;57036199;54499394;54499396;54499397;54499398;54499400;53442219;60145986;59046094;59079188;59583703;57880183;59921588;76973451;76973452;89014629;89050176;90769758;92173705;91008855;129848804	HMDB:(30);PubChem class - food;SuperNatural:(SN00247755 SN00003540 SN00002818 SN00003537 SN00324143 SN00003539 SN00003538);ZINC bio:(ZINC01532548 ZINC02169824 ZINC02169825 ZINC03830315 ZINC03830316 ZINC03830317 ZINC03830318);additional;HSDB:(58-85-5);MeSH:(171548);Plantcyc:(BIOTIN);PubMed;NORMAN:(NS00005403);COCONUT:(CNP0093958 CNP0177348);KNApSAcK:(756);Natural Products:(UNPD168877 UNPD115628);PubChem:(253 1549077 638035 171548 7005108 7048618 7048619 7048620 7048621 5315463 6347547 6419877 6560210 6604192 6604653 11184136 10444559 18717127 20848889 20848890 22297882 46780807 57036199 54499394 54499396 54499397 54499398 54499400 53442219 60145986 59046094 59079188 59583703 57880183 59921588 76973451 76973452 89014629 89050176 90769758 92173705 91008855 129848804);CHEBI:(57586 94689 95156 15956);PubChem class - bio and metabolites;KEGG:(C00120);PubChem class - safety and toxic;YMDB:(282);Training Set;PubChem class - drug;Biocyc:(BIOTIN POLYPRENYL-PHOSPHATE SMA-0000607 SMA-0000137 ALPHA-L-FUCOSYL-12-BETA-D-GALACTOSYL-R)	255847294	245.09563	164.75	278_mapp_batch_00114_sirius_278	278
4	1	1	2	2	0.9944041071810923	-0.35159481717196245	0.9999999999999999	51.81414644760956	C11H14N2O3	[M + H]+	JBCLFWXMTIKCCB	InChI=1S/C11H14N2O3/c12-7-10(14)13-9(11(15)16)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,14)(H,15,16)	Maybridge1_006768	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN	-0.0296252836	1549344;92953;97415;182174;4690601;7092603;23278179;101708635	HMDB:(28848);SuperNatural:(SN00050545 SN00072136);ZINC bio:(ZINC01569529 ZINC04081371);additional;MeSH:(92953 97415 182174);PubMed;NORMAN:(NS00042948);COCONUT:(CNP0209372);Natural Products:(UNPD149159);PubChem:(1549344 92953 97415 182174 4690601 7092603 23278179 101708635);CHEBI:(73912 137014 133047);PubChem class - bio and metabolites;Training Set;Biocyc:(CPD-20345)	20768878	223.10785	102.94	238_mapp_batch_00114_sirius_238	238
5	1	1	1	2	0.9931801881889322	-2.6046954436800447	0.9999999999999999	56.948427544598104	C16H35NO2	[M + H]+	ZKLREJQHRKUJHD	InChI=1S/C16H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(19)15(17)14-18/h15-16,18-19H,2-14,17H2,1H3	C16 sphinganine(1+)	CCCCCCCCCCCCCC(C(CO)N)O	4.69999981	656816;11076605;70679052	COCONUT:(CNP0047169);KEGG:(C13915);PubChem:(656816 11076605 70679052);SuperNatural:(SN00214262);CHEBI:(71050 71009)	3146018	274.27398	310.71	334_mapp_batch_00114_sirius_339	339
6	1	1	2	2	0.993097218838807	-1.6221922606650092	0.9999999999999999	39.78476770601537	C10H16N2O3S	[M - H2O + H]+	YBJHBAHKTGYVGT	InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)	Appearex	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2	0.300000012	253;1549077;638035;171548;7005108;7048618;7048619;7048620;7048621;5315463;6347547;6419877;6560210;6604192;6604653;11184136;10444559;18717127;20848889;20848890;22297882;46780807;57036199;54499394;54499396;54499397;54499398;54499400;53442219;60145986;59046094;59079188;59583703;57880183;59921588;76973451;76973452;89014629;89050176;90769758;92173705;91008855;129848804	HMDB:(30);PubChem class - food;SuperNatural:(SN00247755 SN00003540 SN00002818 SN00003537 SN00324143 SN00003539 SN00003538);ZINC bio:(ZINC01532548 ZINC02169824 ZINC02169825 ZINC03830315 ZINC03830316 ZINC03830317 ZINC03830318);additional;HSDB:(58-85-5);MeSH:(171548);Plantcyc:(BIOTIN);PubMed;NORMAN:(NS00005403);COCONUT:(CNP0093958 CNP0177348);KNApSAcK:(756);Natural Products:(UNPD168877 UNPD115628);PubChem:(253 1549077 638035 171548 7005108 7048618 7048619 7048620 7048621 5315463 6347547 6419877 6560210 6604192 6604653 11184136 10444559 18717127 20848889 20848890 22297882 46780807 57036199 54499394 54499396 54499397 54499398 54499400 53442219 60145986 59046094 59079188 59583703 57880183 59921588 76973451 76973452 89014629 89050176 90769758 92173705 91008855 129848804);CHEBI:(57586 94689 95156 15956);PubChem class - bio and metabolites;KEGG:(C00120);PubChem class - safety and toxic;YMDB:(282);Training Set;PubChem class - drug;Biocyc:(BIOTIN POLYPRENYL-PHOSPHATE SMA-0000607 SMA-0000137 ALPHA-L-FUCOSYL-12-BETA-D-GALACTOSYL-R)	255847294	227.08484	164.75	275_mapp_batch_00114_sirius_275	275
7	1	1	2	2	0.9858893010469691	-0.3823029916354569	0.9999999999999999	57.39948984044126	C17H21NO4	[M + H]+	ZPUCINDJVBIVPJ	InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3	Blizzard	CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC	2.37998962	2826;5760;5872;638023;638216;644005;644017;644018;644271;122142;135184;165376;439497;446220;449824;449825;450867;3518588;497304;6101676;5315982;6338296;6432459;6432481;10638361;10828629;9861246;12305901;13006129;10136514;11779748;15558678;15558680;15558681;15558688;15558693;11859114;16053775;16217586;21635054;44246523;44279116;44382114;44382176;44382277;44382278;44385873;50897619;54559877;54559878;56638200;56840956;59435281;71314969;76973582;87255980;98078900;101437423;118245134;124909386;129318254;131704587;133587242;134819851;134972500;135232922;139340485	HMDB:(15043);SuperNatural:(SN00042624 SN00400307 SN00156823 SN00372960);ZINC bio:(ZINC00001212 ZINC03875336 ZINC06482440);additional;HSDB:(50-36-2);MeSH:(2826 446220 644005 6432459 6432481);Plantcyc:(CPD-9776);PubMed;NORMAN:(NS00000403);COCONUT:(CNP0110813 CNP0189710);KNApSAcK:(2285);Natural Products:(UNPD126199 UNPD91357);PubChem:(2826 5760 5872 638023 638216 644005 644017 644018 644271 122142 135184 165376 439497 446220 449824 449825 450867 3518588 497304 6101676 5315982 6338296 6432459 6432481 10638361 10828629 9861246 12305901 13006129 10136514 11779748 15558678 15558680 15558681 15558688 15558693 11859114 16053775 16217586 21635054 44246523 44279116 44382114 44382176 44382277 44382278 44385873 50897619 54559877 54559878 56638200 56840956 59435281 71314969 76973582 87255980 98078900 101437423 118245134 124909386 129318254 131704587 133587242 134819851 134972500 135232922 139340485);CHEBI:(60056 27958);PubChem class - bio and metabolites;KEGG:(C01416);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-9776)	121564030	304.15435	175.82	288_mapp_batch_00114_sirius_288	288
8	1	1	1	2	0.985172761571478	-10.04215090942164	0.992964824120603	27.029207343925535	C26H52NO9P	[M + H]+	PKDXOBRCEXMRQQ	InChI=1S/C26H52NO9P/c1-24(28)36-25(23-35-37(31,32)34-21-19-27(2,3)4)22-33-20-17-15-13-11-9-7-5-6-8-10-12-14-16-18-26(29)30/h25H,5-23H2,1-4H3,(H-,29,30,31,32)/p+1	1-O-(15-Carboxypentadecyl)-2-O-acetylglycero-3-phosphorylcholine	CC(=O)OC(COCCCCCCCCCCCCCCCC(=O)O)COP(=O)(O)OCC[N+](C)(C)C	4.80000019	195638;195639;53463729;53463731	MeSH:(195638);Training Set;PubChem:(195638 195639 53463729 53463731);PubMed;additional	540742	554.34548	377.42	365_mapp_batch_00114_sirius_370	370
9	1	1	2	2	0.9815156652396625	-0.4839174167847059	0.9999999999999999	38.492727390120585	C9H11NO2	[M + H]+	COLNVLDHVKWLRT	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	Sabiden	C1=CC=C(C=C1)CC(C(=O)O)N	0.690450609	994;6140;71567;450580;450585;450605;2724448;3823098;5460949;5460950;5460952;5460953;5460957;5460958;10511283;10511284;10702212;6919011;6925665;12132826;12132829;9877477;10012270;9989619;13000972;13000974;13000976;13000978;13000981;13000983;13000986;13000987;13000992;13000995;13000997;13000999;10103511;10154215;11062753;10241165;11819436;10329658;10329702;10352075;10397170;11378724;10442063;20598859;16213431;16213432;16213459;16213565;16217565;16219910;23244601;25240041;25240491;25240783;25240991;25241052;25241066;25241070;25241360;25241565;24773270;53731873;53731875;53731876;53731877;53731878;57397115;56617616;56634323;59373178;66995391;66995546;66995580;66995721;71308946;71309396;87528067;87221210;87471585;88455641;90120010;91590842;102122880;101731663;102152000;102176479;100915787;101868632;102601151;102602169;102602342;117064739;119078553;119078554;119080919;118264378;124202794;129736625;131701211;134501265;131860346;131868860;134866153;138986901	HMDB:(159);PubChem class - food;SuperNatural:(SN00000169 SN00001028);ZINC bio:(ZINC00001927 ZINC00105196);additional;HSDB:(63-91-2);MeSH:(994 6140 6925665);Plantcyc:(CPD-216 PHE B-DMAN-HEX-1:5);PubMed;NORMAN:(NS00002612);COCONUT:(CNP0082854 CNP0082855 CNP0193965);KNApSAcK:(1386);Natural Products:(UNPD39371 UNPD26171);PubChem:(994 6140 71567 450580 450585 450605 2724448 3823098 5460949 5460950 5460952 5460953 5460957 5460958 10511283 10511284 10702212 6919011 6925665 12132826 12132829 9877477 10012270 9989619 13000972 13000974 13000976 13000978 13000981 13000983 13000986 13000987 13000992 13000995 13000997 13000999 10103511 10154215 11062753 10241165 11819436 10329658 10329702 10352075 10397170 11378724 10442063 20598859 16213431 16213432 16213459 16213565 16217565 16219910 23244601 25240041 25240491 25240783 25240991 25241052 25241066 25241070 25241360 25241565 24773270 53731873 53731875 53731876 53731877 53731878 57397115 56617616 56634323 59373178 66995391 66995546 66995580 66995721 71308946 71309396 87528067 87221210 87471585 88455641 90120010 91590842 102122880 101731663 102152000 102176479 100915787 101868632 102601151 102602169 102602342 117064739 119078553 119078554 119080919 118264378 124202794 129736625 131701211 134501265 131860346 131868860 134866153 138986901);CHEBI:(76052 17295 57981 32494 58095 32505 32487 32504 16998 32495 32486 28044);PubChem class - bio and metabolites;KEGG:(C00079 C02265 C02057);PubChem class - safety and toxic;YMDB:(304 995);Training Set;PubChem class - drug;Biocyc:(CPD-216 PHE SMA-0000294 SMA-0000352)	255847294	166.08643	91.08	230_mapp_batch_00114_sirius_230	230
10	1	1	2	2	0.9755200352973529	-2.4243124006964942	0.9999999999999999	24.76558662357842	C10H16N2O3	[M + H]+	RWCOTTLHDJWHRS	InChI=1S/C10H16N2O3/c13-9(7-3-1-5-11-7)12-6-2-4-8(12)10(14)15/h7-8,11H,1-6H2,(H,14,15)	Prolylproline	C1CC(NC1)C(=O)N2CCCC2C(=O)O	-2.29999995	263469;7408325;11622593;11902928;57309116;61158797;61172252;78923151;92245213;103868724;132526338	COCONUT:(CNP0189934);HMDB:(11180);PubChem:(263469 7408325 11622593 11902928 57309116 61158797 61172252 78923151 92245213 103868724 132526338);CHEBI:(73646);ZINC bio:(ZINC04899613 ZINC04974454 ZINC04974455 ZINC04974456);additional;PubChem class - bio and metabolites;MeSH:(263469 11622593);Training Set;PubMed;KEGG Mine	8609357934	213.12351	42.44	150_mapp_batch_00114_sirius_150	150
