"sirius_smiles"	"sirius_confidenceRank"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_#adducts"	"sirius_#predictedFPs"	"sirius_ConfidenceScore"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_id"	"sirius_featureId"	"sirius_chebiid"	"sirius_chebiasciiname"	"feature_id"
"[B-](CNC(=O)C1=CC=CC=C1F)(O)(O)O"	68	1	1	1	2	"0.7177456741072625"	-388.38307235967	1	171.698464140757	"C8H11BFNO4"	"[M + H]+"	"GSERMWXQEOLTTB"	"InChI=1S/C8H10BFNO4/c10-7-4-2-1-3-6(7)8(12)11-5-9(13,14)15/h1-4,13-15H,5H2,(H,11,12)/q-1"	"[(2-Fluorophenyl)carbonylamino]methyl-Trihydroxy-Boron"	1.20677447	"53301827"	"PubChem:(53301827);PubChem class - bio and metabolites"	16777218	215.0878	26.05	"15_mapp_batch_00114_sirius_15"	15	NA	NA	15
"B(C1=CC(=CC(=C1)F)OC(C)C)(O)O"	341	1	1	1	2	"0.14714584660750626"	-261.810162111714	1	57.6345962794635	"C9H12BFO3"	"[M + H]+"	"HJJYROZZJOJOOW"	"InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3"	"3-Fluoro-5-Isopropoxybenzeneboronic Acid"	2.15604806	"44558177;45788923"	"PubChem:(44558177 45788923);PubChem class - safety and toxic"	67108866	198.09735	35.29	"123_mapp_batch_00114_sirius_123"	123	NA	NA	123
"B(C1=CN=C(N=C1)SC)(O)O"	346	1	3	2	6	"0.1344431322558016"	-131.332758566883	0.0201005025125628	20.8073312120969	"C5H7BN2O2S"	"[M + H]+"	"SLNVTXVTMQIKCE"	"InChI=1S/C5H7BN2O2S/c1-11-5-7-2-4(3-8-5)6(9)10/h2-3,9-10H,1H3"	"2-(Methylthio)pyrimidine-5-boronic acid"	0.413330525	"2763263"	"PubChem:(2763263);PubChem class - safety and toxic"	67108866	170.04254	34.28	"93_mapp_batch_00114_sirius_93"	93	NA	NA	93
"B(CCSCC(C(=O)O)N)(O)O"	373	1	1	2	2	"0.0821810393693556"	-67.6886302707922	1	28.0105147843096	"C5H12BNO4S"	"[M + H]+"	"OTJHLDXXJHAZTN"	"InChI=1S/C5H12BNO4S/c7-4(5(8)9)3-12-2-1-6(10)11/h4,10-11H,1-3,7H2,(H,8,9)"	"S-(2-boronoethyl)-L-cysteine"	-1.16173255	"2306;9877608;16760312"	"PubChem:(2306 9877608 16760312);CHEBI:(95019 59346);additional;MeSH:(9877608);Training Set;PubMed"	540774	193.06819	39.79	"133_mapp_batch_00114_sirius_133"	133	NA	NA	133
"B1(OC2CC3CC(C3(C)C)C2(O1)C)C4=CC=CC=C4"	399	1	1	2	2	"0.03186571593269889"	-344.927326288062	1	13.3154588813382	"C16H21BO2"	"[M + H]+"	"OZQWJKOXOILFRR"	"InChI=1S/C16H21BO2/c1-15(2)11-9-13(15)16(3)14(10-11)18-17(19-16)12-7-5-4-6-8-12/h4-8,11,13-14H,9-10H2,1-3H3"	"2,9,9-trimethyl-4-phenyl-3,5-dioxa-4-boratricyclo[6.1.1.0~2,6~]decane"	3.68254614	"13204725;13204726;13204727;13204728;11834658;11391198;58961317;99864582;99864584;100632477;102243640;100912112;124630339;124865439"	"PubChem:(13204725 13204726 13204727 13204728 11834658 11391198 58961317 99864582 99864584 100632477 102243640 100912112 124630339 124865439);PubChem class - safety and toxic"	67108866	256.17561	125.61	"260_mapp_batch_00114_sirius_260"	260	NA	NA	260
"C(C(C(=O)O)N)C(=O)N"	210	1	1	2	2	"0.34661035716821176"	-67.124390035205	1	33.680804774205	"C4H8N2O3"	"[M + H]+"	"DCXYFEDJOCDNAF"	"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)"	"agedoite"	-2.25158358	"236;6267;439600;4333740;5247114;5460880;5460874;5460875;5460877;5460878;5460881;6991971;6992089;16213309;16213311;16213450;16217343;16217399;16217568;16217723;16217724;53753695;58203004;71309330;71309891;87528072;88447182;91065355;101916026;122227568;124202806;131667586;134231473;136814877;138112706"	"HMDB:(168 33780);PubChem class - food;SuperNatural:(SN00002221 SN00156119);ZINC bio:(ZINC01529313 ZINC01532556);additional;HSDB:(70-47-3);MeSH:(236 6267 6992089);Plantcyc:(ASN B-DIDO-HEX-1:5_6:A CPD-3633);PubMed;NORMAN:(NS00002372);COCONUT:(CNP0405192 CNP0267849);KNApSAcK:(1341);Natural Products:(UNPD141469 UNPD81200);PubChem:(236 6267 439600 4333740 5247114 5460880 5460874 5460875 5460877 5460878 5460881 6991971 6992089 16213309 16213311 16213450 16217343 16217399 16217568 16217723 16217724 53753695 58203004 71309330 71309891 87528072 88447182 91065355 101916026 122227568 124202806 131667586 134231473 136814877 138112706);CHEBI:(32660 32651 28159 17196 74337 32661 32657 32656 22653 58048 32650);PubChem class - bio and metabolites;KEGG:(C00152 C01905 C16438);PubChem class - safety and toxic;YMDB:(849 226);Training Set;PubChem class - drug;Biocyc:(ASN CPD-3633)"	255847294	133.05972	33.51	"117_mapp_batch_00114_sirius_117"	117	NA	NA	117
"C(C(C(=O)O)N)C(=O)N"	293	1	1	2	2	"0.22651593752954796"	-99.7954140406663	1	33.5010541355085	"C4H8N2O3"	"[M + H]+"	"DCXYFEDJOCDNAF"	"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)"	"agedoite"	-2.25158358	"236;6267;439600;4333740;5247114;5460880;5460874;5460875;5460877;5460878;5460881;6991971;6992089;16213309;16213311;16213450;16217343;16217399;16217568;16217723;16217724;53753695;58203004;71309330;71309891;87528072;88447182;91065355;101916026;122227568;124202806;131667586;134231473;136814877;138112706"	"HMDB:(168 33780);PubChem class - food;SuperNatural:(SN00002221 SN00156119);ZINC bio:(ZINC01529313 ZINC01532556);additional;HSDB:(70-47-3);MeSH:(236 6267 6992089);Plantcyc:(ASN B-DIDO-HEX-1:5_6:A CPD-3633);PubMed;NORMAN:(NS00002372);COCONUT:(CNP0405192 CNP0267849);KNApSAcK:(1341);Natural Products:(UNPD141469 UNPD81200);PubChem:(236 6267 439600 4333740 5247114 5460880 5460874 5460875 5460877 5460878 5460881 6991971 6992089 16213309 16213311 16213450 16217343 16217399 16217568 16217723 16217724 53753695 58203004 71309330 71309891 87528072 88447182 91065355 101916026 122227568 124202806 131667586 134231473 136814877 138112706);CHEBI:(32660 32651 28159 17196 74337 32661 32657 32656 22653 58048 32650);PubChem class - bio and metabolites;KEGG:(C00152 C01905 C16438);PubChem class - safety and toxic;YMDB:(849 226);Training Set;PubChem class - drug;Biocyc:(ASN CPD-3633)"	255847294	133.05981	41.07	"143_mapp_batch_00114_sirius_143"	143	NA	NA	143
"C(C(C(=O)O)N)OP(=O)(O)O"	161	1	1	1	2	"0.470263071322858"	-56.6727199527774	0.726130653266332	9.92794232423988	"C3H8NO6P"	"[M + K]+"	"BZQFBWGGLXLEPQ"	"InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)"	"P-serine"	-5.0999999	"106;68841;644269;439747;7059387;7059388;5247361;52914844;57689796;57689797;129635266;139026226"	"HMDB:(272 1721);SuperNatural:(SN00005709 SN00310220 SN00398425);ZINC bio:(ZINC03869280 ZINC03869281);additional;MeSH:(106 68841);Plantcyc:(3-P-SERINE PHOSPHATE-GROUP);PubMed;NORMAN:(NS00014359);COCONUT:(CNP0083346 CNP0263057);KNApSAcK:(7287);Natural Products:(UNPD194311 UNPD163091);PubChem:(106 68841 644269 439747 7059387 7059388 5247361 52914844 57689796 57689797 129635266 139026226);CHEBI:(67032 37712 15811 58680 37713 57524);PubChem class - bio and metabolites;KEGG:(C02532 C01005);PubChem class - safety and toxic;YMDB:(76 761);Training Set;Biocyc:(CPD-3722 3-P-SERINE)"	88074622	223.97204	32.24	"79_mapp_batch_00114_sirius_79"	79	NA	NA	79
"C(C(C(C(C(C=O)N)O)O)O)O"	225	1	1	1	2	"0.33125534124312195"	-52.1619870965522	1	59.0817332291452	"C6H13NO5"	"[M + H]+"	"FZHXIRIBWMQPQF"	"InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2"	"Manosamine"	-3.70000005	"91432;123961;318324;3034366;2794221;7015184;12171862;12171863;12172026;12172028;11593537;11687003;13726042;13726047;18594456;22806411;25167563;25167564;25167565;25788878;40484560;56845152;71774568;71306817;86306218;87228962;87356249;87881299;92148083;90477476;89860273;101915849;101915850;102601826;102602064;112756123;123736078;123883487;129629242;129643519;129716922;129736001;131632285;129774390;131854201;134692714;131977457"	"SuperNatural:(SN00156660 SN00227959);ZINC bio:(ZINC01995163 ZINC02508224 ZINC02556395 ZINC03650207 ZINC04353079 ZINC04353080 ZINC04353081 ZINC13507626);additional;MeSH:(123961 318324 2794221);PubMed;NORMAN:(NS00002826);COCONUT:(CNP0023247 CNP0148872);Natural Products:(UNPD43064);PubChem:(91432 123961 318324 3034366 2794221 7015184 12171862 12171863 12172026 12172028 11593537 11687003 13726042 13726047 18594456 22806411 25167563 25167564 25167565 25788878 40484560 56845152 71774568 71306817 86306218 87228962 87356249 87881299 92148083 90477476 89860273 101915849 101915850 102601826 102602064 112756123 123736078 123883487 129629242 129643519 129716922 129736001 131632285 129774390 131854201 134692714 131977457);YMDB Mine;CHEBI:(60313 28328 27503 20993);Training Set;KEGG Mine"	42953662566	180.08669	35.29	"122_mapp_batch_00114_sirius_122"	122	NA	NA	122
"C(C1=C(C(=O)NC(=O)N1)Cl)Cl"	359	1	1	1	1	"0.11181785266646746"	-191.949125562797	1	31.8942562642027	"C5H4Cl2N2O2"	"[M + K]+"	"BXVCXZREYQLVTA"	"InChI=1S/C5H4Cl2N2O2/c6-1-2-3(7)4(10)9-5(11)8-2/h1H2,(H2,8,9,10,11)"	"5-chloro-6-(chloromethyl)-1H-pyrimidine-2,4-dione"	0.300000012	"4171056"	"PubChem:(4171056);PubChem class - safety and toxic"	67108866	232.92818	26.81	"29_mapp_batch_00114_sirius_29"	29	NA	NA	29
