"feature_id_full","feature_id","feature_mz","feature_rt","A_vs_B_p_value","A_vs_C_p_value","A_vs_D_p_value","B_vs_C_p_value","B_vs_D_p_value","C_vs_D_p_value","A_vs_B_p_value_minus_log10","A_vs_C_p_value_minus_log10","A_vs_D_p_value_minus_log10","B_vs_C_p_value_minus_log10","B_vs_D_p_value_minus_log10","C_vs_D_p_value_minus_log10","C_vs_D_fold_change","B_vs_D_fold_change","A_vs_D_fold_change","B_vs_C_fold_change","A_vs_C_fold_change","A_vs_B_fold_change","C_vs_D_fold_change_log2","B_vs_D_fold_change_log2","A_vs_D_fold_change_log2","B_vs_C_fold_change_log2","A_vs_C_fold_change_log2","A_vs_B_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"93_116.03_2",93,116.034498972751,2.0183501,6.64476720313445e-08,6.64476720313445e-08,6.64476720313445e-08,1,1,1,7.17752022979501,7.17752022979501,7.17752022979501,0,0,0,1,1,0.548031471271026,1,0.548031471271026,0.548031471271026,0,0,-0.867669351075748,0,-0.867669351075748,-0.867669351075748,"Amino acids and Peptides","Small peptides","Aminoacids","N-carboxy-beta-alanine",NA,NA,"C(CNC(=O)O)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H7NO4/c6-3(7)1-2-5-4(8)9/h5H,1-2H2,(H,6,7)(H,8,9)","NSMPFGWDOGVQDR"
"465_126.06_4.3",465,126.055470348879,4.2621937,7.63849811513673e-07,1.89936812899916e-06,1.60962184914126e-07,0.817350919848535,0.395030356650187,0.107905249961839,6.11699202420287,5.72139085364181,6.79327614143463,0.0875914442839632,0.403369529135333,0.966957424881592,0.847800045809537,0.895248474416773,0.528299028343607,1.05596653225222,0.623141070768817,0.59011441341777,-0.238204050540602,-0.159639939820459,-0.92057333842345,0.0785641107201439,-0.682369287882848,-0.760933398602991,"Amino acids and Peptides","Small peptides","Aminoacids","(2R)-2-Amino-6-Hydroxy-4-Hexynoic Acid",NA,NA,"C(C#CCO)C(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C6H9NO3/c7-5(6(9)10)3-1-2-4-8/h5,8H,3-4,7H2,(H,9,10)","HAPOKOYCNZZHNP"
"184_662.53_2.6",184,662.531993293361,2.56195,3.28819461925534e-06,1,1,3.28819461925534e-06,3.28819461925534e-06,1,5.48304248566748,0,0,5.48304248566748,5.48304248566748,0,1,0.579341564891134,1,0.579341564891134,1,1.72609745373252,0,-0.787513919932624,0,-0.787513919932624,0,0.787513919932624,"Amino acids and Peptides","Macrolides","Erythromycins","N,N,N',N'-Tetrakis(2-hydroxyethyl)-2,2-diundecyl-1,3-dioxolane-4,5-dicarboxamide",NA,NA,"CCCCCCCCCCCC1(OC(C(O1)C(=O)N(CCO)CCO)C(=O)N(CCO)CCO)CCCCCCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C35H68N2O8/c1-3-5-7-9-11-13-15-17-19-21-35(22-20-18-16-14-12-10-8-6-4-2)44-31(33(42)36(23-27-38)24-28-39)32(45-35)34(43)37(25-29-40)26-30-41/h31-32,38-41H,3-30H2,1-2H3","JKPHYUDBNJXRCG"
"94_184.1_2",94,184.09718631615,2.0187883,2.7217674815061e-05,3.57882709746127e-05,0.000147483986270625,0.996609024763581,0.620475813712063,0.740220209267661,4.56514897899018,4.44625928301049,3.83125513257976,0.00147518440630491,0.207275142732713,0.130639062102814,1.09431708897933,1.11580072772539,0.645600428536965,1.01963200516781,0.589957367054478,0.578598321810607,0.130030833573311,0.158079397424839,-0.63128655863854,0.0280485638515276,-0.761317392211851,-0.789365956063378,"Fatty acids","Fatty amides","N-acyl amines","1-(Ethoxycarbonyl)piperidine-4-carboxylic acid",NA,NA,"CCOC(=O)N1CCC(CC1)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H15NO4/c1-2-14-9(13)10-5-3-7(4-6-10)8(11)12/h7H,2-6H2,1H3,(H,11,12)","BVEBMPFJSMEGJX"
"92_90.06_2",92,90.0552100870977,2.018329,4.1485026563981e-05,6.10353809060715e-05,0.000235683510605322,0.991492580589326,0.620818063717335,0.781911764967553,4.38210862748209,4.21441834076272,3.62767080145373,0.00371053130353034,0.207035655057489,0.106842252246719,1.08711246053126,1.11646302502756,0.655753455923172,1.02699864601125,0.603206641199486,0.587349013109488,0.120501193224806,0.158935472841821,-0.608774589148785,0.0384342796170146,-0.729275782373591,-0.767710061990605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666_158.96_5.8",666,158.964493413571,5.787719,7.57962443731497e-05,0.232881435065307,0.626950264385742,0.00163797716646086,0.000453655636435957,0.851198055101448,4.1203523126849,0.632865131345338,0.202766910141465,2.78569215663492,3.34327368886953,0.0699693773653732,1.04849647695041,1.49518688751762,0.934460139159826,1.42602948163109,0.891238225118064,0.624978821685135,0.0683220138477494,0.580325822111535,-0.0977949699891106,0.512003808263786,-0.16611698383686,-0.678120792100646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95_220.12_2",95,220.118232451326,2.019277,7.68456993296418e-05,0.000105092078709679,0.000326230216187606,0.995884203007681,0.75540773926841,0.865719142770989,4.11438043277931,3.97843001758093,3.48647581608607,0.00179115647431387,0.121818570071974,0.0626229792623185,1.06819213704717,1.08964396263008,0.669224565598918,1.02008236612021,0.626502051820818,0.614168103114714,0.0951711697163972,0.123856816418685,-0.579437690728583,0.0286856467022873,-0.674608860444981,-0.703294507147268,"Fatty acids","Fatty esters","Lactones","(4-Acetyloxy-3-oxopentan-2-yl) acetate","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","CC(C)(CO)C(O)C(=O)NCCC(=O)O","CC(C(=O)C(C)OC(=O)C)OC(=O)C","1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",NA,"GHOKWGTUZJEAQD-ZETCQYMHSA-N","GHOKWGTUZJEAQD","GHOKWGTUZJEAQD","InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)","GHOKWGTUZJEAQD-UHFFFAOYSA-N","InChI=1S/C9H14O5/c1-5(13-7(3)10)9(12)6(2)14-8(4)11/h5-6H,1-4H3","FLVDHHXYHNMUSE"
"96_202.11_2",96,202.10778343964,2.019571,8.74208098159412e-05,0.000122873747407826,0.000375405153674957,0.994865328683593,0.755476486699509,0.873208859969584,4.05838517477424,3.91054089639596,3.42549976954836,0.0022357041467319,0.121779048010021,0.0588818663935224,1.0678161991847,1.09138075979756,0.668742422243194,1.02206799319101,0.626271096799052,0.612748956988431,0.094663340522776,0.126154515444668,-0.580477456081137,0.0314911749218921,-0.675140796603913,-0.706631971525806,"Fatty acids","Fatty amides","N-acyl amines","Pantothenate",NA,"N[C@@H](C[C@@H]1CC[C@@H](O)[C@@H]2O[C@H]12)C(=O)O","CC(C)(CO)C(C(=O)NCCC(=O)O)O",NA,NA,NA,NA,"YMLXTGCTHGQQKS","InChI=1S/C9H15NO4/c10-5(9(12)13)3-4-1-2-6(11)8-7(4)14-8/h4-8,11H,1-3,10H2,(H,12,13)/t4-,5-,6+,7+,8-/m0/s1","YMLXTGCTHGQQKS-TXXZRHAASA-N","InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)","GHOKWGTUZJEAQD"
"700_266.16_6.1",700,266.160441535258,6.0745716,0.000137105370080604,0.0243913441667077,0.994763629952468,0.0347335075392649,0.000195023790554694,0.0372134058183664,3.86294553462916,1.61276426577489,0.00228010156826208,1.45925135754641,3.70991240670721,1.42930058097457,1.26430303642466,1.72632842055766,0.984159201705692,1.36543879973552,0.778420341763005,0.570088049287733,0.338342299550385,0.787706952140047,-0.0230363840653849,0.449364652589662,-0.36137868361577,-0.810743336205432,"Amino acids and Peptides","Amino acid glycosides","Cyanogenic glycosides","(2S,3S,4R,5S)-6-[2-(2-methoxyethoxy)ethylamino]hexane-1,2,3,4,5-pentol",NA,NA,"COCCOCCNCC(C(C(C(CO)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C11H25NO7/c1-18-4-5-19-3-2-12-6-8(14)10(16)11(17)9(15)7-13/h8-17H,2-7H2,1H3","RDQUJEAXJAFZRR"
"463_138.06_4.3",463,138.055292786821,4.261881,0.000954440080677799,0.00646492262262788,0.000167503454120865,0.670342223406044,0.676046513262461,0.157423672548053,3.02025133122822,2.18943666873669,3.77597623286496,0.173703424475103,0.170023422759116,0.802929960134753,0.820658379731929,0.901880541855899,0.619008284212906,1.0989719524347,0.754282536437521,0.686352854380364,-0.285146307030402,-0.148991740215242,-0.691969377672536,0.136154566815159,-0.406823070642135,-0.542977637457294,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","1-(3-Hydroxypyridin-4-yl)ethanone",NA,NA,"CC(=O)C1=C(C=NC=C1)O",NA,NA,NA,NA,"DYFSAZGSIBFUAI","nan","nan","InChI=1S/C7H7NO2/c1-5(9)6-2-3-8-4-7(6)10/h2-4,10H,1H3","REYSBWKWFPSDDR"
