"feature_id_full","feature_id","feature_mz","feature_rt","pDelta_vs_psDelta_p_value","pDelta_vs_sDelta_p_value","pDelta_vs_WT_p_value","psDelta_vs_sDelta_p_value","psDelta_vs_WT_p_value","sDelta_vs_WT_p_value","pDelta_vs_psDelta_p_value_minus_log10","pDelta_vs_sDelta_p_value_minus_log10","pDelta_vs_WT_p_value_minus_log10","psDelta_vs_sDelta_p_value_minus_log10","psDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","psDelta_vs_WT_fold_change","pDelta_vs_WT_fold_change","psDelta_vs_sDelta_fold_change","pDelta_vs_sDelta_fold_change","pDelta_vs_psDelta_fold_change","sDelta_vs_WT_fold_change_log2","psDelta_vs_WT_fold_change_log2","pDelta_vs_WT_fold_change_log2","psDelta_vs_sDelta_fold_change_log2","pDelta_vs_sDelta_fold_change_log2","pDelta_vs_psDelta_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"81_131.12_0.5",81,131.118053803546,0.5438816,0.00126710521472506,0.0990375674742022,0.103009514227112,0.062239978914833,0.0599537830940693,0.999994390670864,2.89718732175639,1.00420003518083,0.987122660872416,1.20593056314519,1.22218340764367,2.43610752330021e-06,0.99802996046638,0.798273439317431,1.26134821524595,0.799849173810771,1.2638380261215,1.58009543236773,-0.00284496953777066,-0.325045085312405,0.334966609574712,-0.322200115774635,0.337811579112483,0.660011694887117,"Alkaloids","Ornithine alkaloids","Polyamines","Acetylputrescine",NA,"CC(=O)NCCCCN","CC(=O)NCCCCN",NA,NA,NA,NA,"KLZGKIDSEJWEDW","InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)","KLZGKIDSEJWEDW-UHFFFAOYSA-N","InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)","KLZGKIDSEJWEDW"
"174_157.02_0.8",174,157.024603127771,0.80830365,0.00646877033274174,0.999994155930402,0.0764881058110441,0.00623158004418434,0.372219222405269,0.0734439838096805,2.18917826777952,2.53805459442794e-06,1.11640609402603,2.20540182212606,0.429201202486896,1.13404377380523,1.25261245290309,0.882800807499125,1.24979221646398,0.704767708043394,0.997748516364681,1.41571258866935,0.324940126744311,-0.179840145634074,0.321688260331748,-0.504780272378385,-0.0032518664125629,0.501528405965822,"Alkaloids","Pseudoalkaloids","Aminoacids","Orotonin",NA,NA,"C1=C(NC(=O)NC1=O)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)","PXQPEWDEAKTCGB"
"70_197.03_0.5",70,197.032362393603,0.50074196,0.00873121218344941,0.973311540969524,0.0363428086997687,0.00461713365434024,0.70052075616488,0.0179000160880362,2.05892545755017,0.0117481269794308,1.43958151192963,2.33562755354019,0.154578992206434,1.74714657868814,1.3656249201591,0.919744466806879,1.30970635991216,0.673497131774458,0.959052768134582,1.42398938746446,0.449561290266458,-0.120695002932698,0.389243391468913,-0.570256293199156,-0.0603178987975452,0.509938394401611,NA,NA,NA,NA,"COC(=O)C(CC1=CC=C(C=C1)O)N",NA,NA,"InChI=1S/C10H13NO3/c1-14-10(13)9(11)6-7-2-4-8(12)5-3-7/h2-5,9,12H,6,11H2,1H3/t9-/m0/s1",NA,"MWZPENIJLUWBSY-UHFFFAOYSA-N","MWZPENIJLUWBSY",NA,NA,NA,NA,NA
"122_180.09_0.6",122,180.086695265937,0.6089297,0.0112085287546861,0.000134099920975128,0.00439254896139485,0.122662726795014,0.994722351072407,0.135729661202943,1.95045138969356,3.87257147807738,2.35728338895729,0.911287385165687,0.00229812349955795,0.867325234955338,1.18880669916796,0.982959598165359,0.770925420422427,0.826845608166012,0.648486773301325,0.784290037821817,0.249514150892543,-0.0247959750909237,-0.375336794787214,-0.274310125983466,-0.624850945679757,-0.35054081969629,"Amino acids and Peptides","Small peptides","Aminosugars","Manosamine","C([C@@H]1[C@H]([C@@H]([C@@H](C(O)O1)O)O)O)O","NC(CCC(=O)O)C(=O)O","C(C(C(C(C(C=O)N)O)O)O)O","\"\"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1\"\"",NA,"WQZGKKKJIJFFOK-QTVWNMPRSA-N","WQZGKKKJIJFFOK","WHUUTDBJXJRKMK","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)","WHUUTDBJXJRKMK-UHFFFAOYSA-N","InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2","FZHXIRIBWMQPQF"
"77_141.07_0.5",77,141.06594413898,0.53111553,0.0119142769205279,0.983120024511678,0.0332016534141668,0.0207772039364504,0.827256997209648,0.0605234524903655,1.92393230992296,0.00739345795517177,1.47884028826075,1.68241289742727,0.082359550748119,1.21807630611567,1.28793903138328,0.933402040522337,1.33584918997875,0.724725330763394,1.03719908895377,1.43116163452053,0.365064300593165,-0.0994294736874718,0.417757144675209,-0.464493774280637,0.0526928440820437,0.517186618362681,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","ACMC-20dntv",NA,"O=C(O)c1ccccn1|O=C(O)c1cccnc1","CN1C=CN=C1CC(=O)O",NA,NA,NA,NA,"SIOXPEMLGUPBBT|PVNIIMVLHYAWGP","InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)|InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)","SIOXPEMLGUPBBT-UHFFFAOYSA-N|PVNIIMVLHYAWGP-UHFFFAOYSA-N","InChI=1S/C6H8N2O2/c1-8-3-2-7-5(8)4-6(9)10/h2-3H,4H2,1H3,(H,9,10)","MGIKMFCKRKDEIK"
"78_159.08_0.5",78,159.076472506333,0.5322659,0.0127824332735694,0.9933938033352,0.0370224509227773,0.0191244998889138,0.818550673585445,0.057191802100363,1.89338646568503,0.00287855340635042,1.43153483390823,1.7184099129495,0.0869544297800457,1.24266621871976,1.29831250777407,0.931108991945274,1.33379616033558,0.717168621861037,1.02733059440547,1.43248123675512,0.376637686226601,-0.102978041028629,0.41553820104771,-0.479615727255231,0.0389005148211087,0.518516242076339,"Amino acids and Peptides","Histidine alkaloids","Imidazole alkaloids","1,2,3-Propanetriol, 1-(1H-imidazol-4-yl)-",NA,"CC(=O)NCC(=O)O|O=C(O)Cc1cnc[nH]1","C1=C(NC=N1)C(C(CO)O)O",NA,NA,NA,NA,"OKJIRPAQVSHGFK|PRJKNHOMHKJCEJ","InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)|InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)","OKJIRPAQVSHGFK-UHFFFAOYSA-N|PRJKNHOMHKJCEJ-UHFFFAOYSA-N","InChI=1S/C6H10N2O3/c9-2-5(10)6(11)4-1-7-3-8-4/h1,3,5-6,9-11H,2H2,(H,7,8)","ABDKJICLXDSVKH"
"115_203.05_0.6",115,203.052664086245,0.59369534,0.0151301855756276,0.000195406267596177,0.504425138127544,0.139635735047242,0.135557857242826,0.00152964823237656,1.82015574521034,3.70906151053137,0.297203278407364,0.8550034244936,0.867875304654457,2.81540843081802,1.48133154068729,1.19490259207286,0.916972551291818,0.80664088980274,0.619019123069756,0.767403600406538,0.566894570117155,0.256893015142225,-0.125049546135586,-0.31000155497493,-0.69194411625274,-0.381942561277811,NA,NA,NA,NA,"CCCC(=O)N[C@@H](CC(=O)O)C(=O)O",NA,NA,"InChI=1S/C8H13NO5/c1-2-3-6(10)9-5(8(13)14)4-7(11)12/h5H,2-4H2,1H3,(H,9,10)(H,11,12)(H,13,14)/t5-/m0/s1",NA,"AKENSLPCKUWJFX-YFKPBYRVSA-N","AKENSLPCKUWJFX",NA,NA,NA,NA,NA
"94_148.08_0.6",94,148.079492563208,0.56655645,0.026139224363082,1,1,0.0261392243630818,0.0261392243630819,1,1.5827073035126,0,0,1.5827073035126,1.5827073035126,0,1,0.63746287271289,1,0.63746287271289,1,1.56871881140973,0,-0.649586776308479,0,-0.649586776308479,0,0.649586776308479,"Fatty acids","Fatty acyls","Hydrocarbons","5-methylthiopentanaldoxime","C(CC(=O)O)C(C(=O)O)N",NA,"CSCCCCC=NO","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",NA,"WHUUTDBJXJRKMK-UHFFFAOYSA-N","WHUUTDBJXJRKMK",NA,NA,NA,"InChI=1S/C6H13NOS/c1-9-6-4-2-3-5-7-8/h5,8H,2-4,6H2,1H3","KNFFJJFEYQLINT"
"201_175.12_1.1",201,175.119140068451,1.1035658,0.0275809978507697,1,1,0.0275809978507697,0.0275809978507697,1,1.55939002556975,0,0,1.55939002556975,1.55939002556975,0,1,0.64119188070349,1,0.64119188070349,1,1.55959554400913,0,-0.641171937864917,0,-0.641171937864917,0,0.641171937864917,"Amino acids and Peptides","Small peptides","Aminoacids","arginine","C(C[C@@H](C(=O)O)N)CN=C(N)N","NC(N)=NCCCC(N)C(=O)O","C(CC(C(=O)O)N)CN=C(N)N","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",NA,"ODKSFYDXXFIFQN-BYPYZUCNSA-N","ODKSFYDXXFIFQN","ODKSFYDXXFIFQN","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)","ODKSFYDXXFIFQN-UHFFFAOYSA-N","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)","ODKSFYDXXFIFQN"
"236_235.17_1.6",236,235.165393744158,1.6042376,0.0305276760458317,0.774212461221057,0.257860116571037,0.00697974999631668,0.477447169126007,0.0575192313675226,1.51530625560592,0.111139842838828,0.588615825340105,2.15616013284455,0.321074677329283,1.24018692608613,1.36339932594094,0.872449000142896,1.2181541754703,0.639907166992902,0.89346837151295,1.3962468582929,0.447208174893444,-0.196857295245763,0.284696739245924,-0.644065470139208,-0.16251143564752,0.481554034491688,"Amino acids and Peptides","Small peptides","Dipeptides","null",NA,"CC(C)C(N)C(=O)O|C[N+](C)(C)CC(=O)[O-]","C(CCN)CCNCC(=O)C(C(CO)O)O",NA,NA,NA,NA,"KZSNJWFQEVHDMF|KWIUHFFTVRNATP","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)|InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3","KZSNJWFQEVHDMF-UHFFFAOYSA-N|KWIUHFFTVRNATP-UHFFFAOYSA-N","InChI=1S/C10H22N2O4/c11-4-2-1-3-5-12-6-8(14)10(16)9(15)7-13/h9-10,12-13,15-16H,1-7,11H2","BZKXSLSRJJQPEX"
