"sirius_smiles"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_ConfidenceScoreExact"	"sirius_ConfidenceScoreApproximate"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScoreNormalized"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_precursorFormula"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_retentionTimeInMinutes"	"sirius_formulaId"	"sirius_alignedFeatureId"	"sirius_mappingFeatureId"	"sirius_overallFeatureQuality"	"sirius_chebiid"	"sirius_chebiasciiname"	"sirius_searchscore"	"sirius_entitystar"	"feature_id"
"[B]CCCN1C(=O)NC(=N1)S(=O)(=O)CC"	1	2	"-Infinity"	"-Infinity"	-196.048	0.173	0.333	18.634	"C7H12BN3O3S"	"[M + H]+"	"C7H13BN3O3S+"	"AZWDEAUVOJVSHG"	"InChI=1S/C7H12BN3O3S/c1-2-15(13,14)6-9-7(12)11(10-6)5-3-4-8/h2-5H2,1H3,(H,9,10,12)"	NA	0.225	"136478782"	"PUBCHEM:(136478782)"	2	229.08	425	7.086	695995067329761280	695994676168955008	814	NA	NA	NA	NA	NA	814
"[C-]#[N+]C(=CC1=CC=C(C=C1)O)C(=O)O"	1	2	"0.184"	"0.184"	-72.717	0.189	0.269	82.235	"C10H7NO3"	"[M + H]+"	"C10H8NO3+"	"FGAAMKTYLMBGNP"	"InChI=1S/C10H7NO3/c1-11-9(10(13)14)6-7-2-4-8(12)5-3-7/h2-6,12H,(H,13,14)"	"3-(4-Hydroxyphenyl)-2-isocyanoprop-2-enoic acid"	1.4	"134160362;134160363;58704472;140583052;72396705"	"MiMeDB:(MMDBc0054805);METACYC:(CPD-20770);CHEBI:(140648);PUBCHEM:(134160362 134160363 58704472 140583052 72396705);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	1107298402	190.051	275	4.583	695994951109788032	695994665469284352	525	NA	NA	NA	NA	NA	525
"[C]=CC1=CC=CC=C1"	1	1	"0.196"	"0.282"	-23.58	1	0.333	64.235	"C8H6"	"[M + H3N + H]+"	"C8H10N+"	"ZZWABYQKBLDNHJ"	"InChI=1S/C8H6/c1-2-8-6-4-3-5-7-8/h2-7H"	"Benzylidenecarbene"	2.466	"100930433"	"MESH:(100930433);PUBCHEM:(100930433);PUBMED"	70	120.081	241	4.02	695994816581674496	695994662063509120	423	NA	"CHEBI:134796"	"etilamfetamine"	"3.77"	"2"	423
"[CH2]C(=O)N1CCC(CC1)O"	1	1	"0.054"	"0.054"	-114.742	0.999	0.03	22.896	"C7H12NO2"	"[M + Na]+"	"C7H12NNaO2+"	"AIZBLAKQKNTTAU"	"InChI=1S/C7H12NO2/c1-6(9)8-4-2-7(10)3-5-8/h7,10H,1-5H2"	NA	-0.4	"57586008"	"PUBCHEM:(57586008)"	2	165.076	110	1.832	695994781458569728	695994644392904832	47	NA	NA	NA	NA	NA	47
"[CH2+]C1=CC=C(C=C1)C=O"	1	2	"0.425"	"0.425"	-19.538	0.054	0.5	51.29	"C8H6O"	"[M + H]+"	"C8H7O+"	"VIBUAICNAOVIKR"	"InChI=1S/C8H7O/c1-7-2-4-8(6-9)5-3-7/h2-6H,1H2/q+1"	"4-Formylbenzyl cation"	0	"86174208"	"PUBCHEM:(86174208)"	2	119.049	193	3.214	695994856414982016	695994657940507776	304	NA	NA	NA	NA	NA	304
"B(C)(N1CC(CC1C(=O)OC)OS(=O)(=O)C)O"	1	2	"-Infinity"	"-Infinity"	-318.12	0.414	0.318	75.972	"C8H16BNO6S"	"[M - H2O + H]+"	"C8H15BNO5S+"	"CIOOSBCIEVRFNZ"	"InChI=1S/C8H16BNO6S/c1-9(12)10-5-6(16-17(3,13)14)4-7(10)8(11)15-2/h6-7,12H,4-5H2,1-3H3"	"[(2S,4R)-2-methoxycarbonyl-4-methylsulfonyloxypyrrolidin-1-yl]-methylborinic acid"	-0.417	"59000608"	"PUBCHEM:(59000608)"	2	247.079	152	2.536	695994805760369536	695994652718598784	180	NA	NA	NA	NA	NA	180
"B(C)(NC1=CC=C(C=C1)OC2=CN=CC(=C2C=O)Cl)O"	1	4	"0.025"	"0.025"	-179.79	0.037	0.046	34.898	"C13H12BClN2O3"	"[M + H3N + H]+"	"C13H16BClN3O3+"	"WBXQGYVZTQYGIB"	"InChI=1S/C13H12BClN2O3/c1-14(19)17-9-2-4-10(5-3-9)20-13-7-16-6-12(15)11(13)8-18/h2-8,17,19H,1H3"	"N-[4-(5-chloro-4-formylpyridin-3-yl)oxyphenyl]-methylboronamidic acid"	2.874	"20594226"	"PUBCHEM:(20594226)"	2	307.101	341	5.688	695994901822519424	695994669730697728	650	NA	NA	NA	NA	NA	650
"B(C)OC1C(OC(C1(C)O)N2C=CC3=C2N=CN=C3Cl)C"	1	3	"-Infinity"	"-Infinity"	-513.972	0.018	0.311	49.822	"C13H17BClN3O3"	"[M - H2O + H]+"	"C13H16BClN3O2+"	"SCSYCFNHAQQZRK"	"InChI=1S/C13H17BClN3O3/c1-7-9(21-14-3)13(2,19)12(20-7)18-5-4-8-10(15)16-6-17-11(8)18/h4-7,9,12,14,19H,1-3H3"	"(2R,3R,4R,5R)-2-(4-chloropyrrolo[2,3-d]pyrimidin-7-yl)-5-(deuteriomethyl)-4-[deuterio(methyl)boranyl]oxy-3-methyloxolan-3-ol"	1.704	"58756493"	"PUBCHEM:(58756493)"	2	291.106	239	3.98	695994832339675648	695994661736353280	414	NA	NA	NA	NA	NA	414
"B(C1=CC(=CC=C1)NS(=O)(=O)N(C)C)(O)O"	1	2	"0.026"	"0.026"	-185.086	0.059	0.333	63.142	"C8H13BN2O4S"	"[M + H]+"	"C8H14BN2O4S+"	"UHPQMFBFPJCLDX"	"InChI=1S/C8H13BN2O4S/c1-11(2)16(14,15)10-8-5-3-4-7(6-8)9(12)13/h3-6,10,12-13H,1-2H3"	"3-[(N,N-Dimethylsulfamoyl)amino]phenylboronic Acid"	0.237	"44119857"	"PUBCHEMANNOTATIONBIO;PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(44119857);DSSTox:(DTXSID00657457)"	137522839554	244.079	256	4.265	695994893979170432	695994663640567552	468	NA	NA	NA	NA	NA	468
"B1(C(CC2=C(O1)C(=CC=C2)C(=O)O)CC(=O)CN3C(=C(N=N3)CN)C#CCN)O"	1	3	"0.020"	"0.020"	-271.059	0.033	0.002	40.188	"C18H20BN5O5"	"[M - H2O + H]+"	"C18H19BN5O4+"	"CLPPYNWGVJQDEB"	"InChI=1S/C18H20BN5O5/c20-6-2-5-16-15(9-21)22-23-24(16)10-13(25)8-12-7-11-3-1-4-14(18(26)27)17(11)29-19(12)28/h1,3-4,12,28H,6-10,20-21H2,(H,26,27)"	"(3R)-3-[3-[4-(aminomethyl)-5-(3-aminoprop-1-ynyl)triazol-1-yl]-2-oxopropyl]-2-hydroxy-3,4-dihydro-1,2-benzoxaborinine-8-carboxylic acid"	-0.45	"157617172"	"PUBCHEM:(157617172)"	2	379.155	163	2.71	695994797803773824	695994654564092672	214	NA	NA	NA	NA	NA	214
"B1(OC(C(O1)(C)C)(C)C)C2=CCC(C(=C2)OC)[N+](=O)[O-]"	1	1	"0.030"	"0.030"	-160.303	0.821	0.33	81.992	"C13H20BNO5"	"[M - H2O + H]+"	"C13H19BNO4+"	"LPOLVEZOGKJHLC"	"InChI=1S/C13H20BNO5/c1-12(2)13(3,4)20-14(19-12)9-6-7-10(15(16)17)11(8-9)18-5/h6,8,10H,7H2,1-5H3"	"2-(5-Methoxy-4-nitrocyclohexa-1,5-dien-1-yl)-4,4,5,5-tetramethyl-1,3,2-dioxaborolane"	2.313	"144371536"	"PUBCHEM:(144371536)"	2	263.143	197	3.287	695994828548024704	695994658485767296	317	NA	NA	NA	NA	NA	317
"C(=CN(O)F)C(N)N"	1	1	"0.085"	"0.085"	-63.186	0.351	0.333	19.795	"C3H8FN3O"	"[M + H]+"	"C3H9FN3O+"	"ZYOOTGBHBOINHG"	"InChI=1S/C3H8FN3O/c4-7(8)2-1-3(5)6/h1-3,8H,5-6H2"	"N-[(Z)-3,3-diaminoprop-1-enyl]-N-fluorohydroxylamine"	-1.2	"121381030"	"PUBCHEM:(121381030)"	2	122.072	282	4.696	695994935074963072	695994666207481984	550	NA	NA	NA	NA	NA	550
"C(=O)(N)N=NC(=O)NF"	1	2	"0.005"	"0.005"	-50.695	0.236	0	66.742	"C2H3FN4O2"	"[M + H3N + H]+"	"C2H7FN5O2+"	"OILTWQAYVGOOSE"	"InChI=1S/C2H3FN4O2/c3-5-2(9)7-6-1(4)8/h(H2,4,8)(H,5,9)"	"1-Carbamoylimino-3-fluorourea"	-0.4	"91600567"	"PUBCHEM:(91600567)"	2	152.057	274	4.559	695994901008824448	695994665209237504	517	NA	NA	NA	NA	NA	517
"C(=O)(NO)N(C(=O)NO)O"	1	1	"0.009"	"0.009"	-101.735	0.951	0.324	7.949	"C2H5N3O5"	"[M - H2O + H]+"	"C2H4N3O4+"	"LEHGBASHEKSMSW"	"InChI=1S/C2H5N3O5/c6-1(3-8)5(10)2(7)4-9/h8-10H,(H,3,6)(H,4,7)"	"1,3-Dihydroxy-1-(hydroxycarbamoyl)urea"	-0.7	"72949602"	"PUBCHEM:(72949602)"	2	134.019	346	5.774	695994888505603328	695994670074630656	659	NA	"CHEBI:177035"	"D-(+)-Galactosamine"	"2.5"	"2"	659
"C(=O)C1=NC(=C(C(=O)N1)N)N"	1	1	"0.350"	"0.350"	-64.44	1	0.333	69.279	"C5H6N4O2"	"[M - H2O + H]+"	"C5H5N4O+"	"QCNGIBLMKHPYNY"	"InChI=1S/C5H6N4O2/c6-3-4(7)8-2(1-10)9-5(3)11/h1H,6H2,(H3,7,8,9,11)"	"4,5-diamino-6-oxo-1H-pyrimidine-2-carbaldehyde"	-1.8	"136434966"	"PUBCHEM:(136434966)"	2	137.046	178	2.968	695994854795980544	695994655855938432	245	NA	NA	NA	NA	NA	245
"C(=O)C1=NC(=C(C(=O)N1)N)N"	1	1	"0.243"	"0.243"	-75.23	1	0.333	35.675	"C5H6N4O2"	"[M - H2O + H]+"	"C5H5N4O+"	"QCNGIBLMKHPYNY"	"InChI=1S/C5H6N4O2/c6-3-4(7)8-2(1-10)9-5(3)11/h1H,6H2,(H3,7,8,9,11)"	"4,5-diamino-6-oxo-1H-pyrimidine-2-carbaldehyde"	-1.8	"136434966"	"PUBCHEM:(136434966)"	2	137.046	241	4.019	695994835556707072	695994661937680000	420	NA	NA	NA	NA	NA	420
