structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0.085	0.085	-142.791	1.000	0.333	37.190	C7H17NO3	[M - H2O + H]+	C7H16NO2+	FVJLCPJDDAGIJE	InChI=1S/C7H18NO3/c1-8(2-5-9,3-6-10)4-7-11/h9-11H,2-7H2,1H3/q+1	Ethanaminium, 2-hydroxy-N,N-bis(2-hydroxyethyl)-N-methyl-	C[N+](CCO)(CCO)CCO	-1.800	23438	NORMAN:(NS00037002 NS00089846);PUBCHEM:(23438);DSSTox:(DTXSID00274744 DTXSID00555348 DTXSID10784420 DTXSID7052787 DTXSID8067785);PUBMED:(null)	137439215682	146.118	83	1.376	695994770771482204	695994639930165204	3	
1	1	0.374	0.513	-284.532	1.000	1.000	18.411	C40H76NO8P	[M + Na]+	C40H76NNaO8P+	GPWHCUUIQMGELX	InChI=1S/C40H76NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h16-19,38H,6-15,20-37H2,1-5H3/p+1	[(2R)-2,3-di(hexadec-9-enoyloxy)propyl] 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCC	11.700	5313274;5313275;5313276;5313277;53851080;10032848;10462648;131879552;24778763;24778764	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0008002);MiMeDB:(MMDBc0033276);BloodExposome:(24778764);LIPIDMAPS:(LMGP01010682 LMGP01010684);SUPERNATURAL:(SN0112196);FooDB:(FDB025193);PUBCHEM:(5313274 5313275 5313276 5313277 53851080 10032848 10462648 131879552 24778763 24778764);GNPS:(CCMSLIB00003138226 CCMSLIB00003136424);CHEBI:(83717 84798);DSSTox:(DTXSID501334823);YMDB:(YMDB01185);PUBCHEMANNOTATIONDRUG:(null);LIPID:(PC(16:1_16:1));PUBMED:(null)	145547661418	752.519	83	1.376	695994773007046400	695994640051800024	4	
1	2	0.172	0.172	-109.778	0.143	0.500	71.721	C15H30O	[M + H3N + H]+	C15H34NO+	XLIJOVLDKFATNT	InChI=1S/C15H30O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,13-14,16H,1,7-12H2,2-5H3	3,7,11-trimethyldodec-1-en-3-ol	CC(C)CCCC(C)CCCC(C)(C=C)O	5.400	528824;1753906;1753907;1753908;1753909;90241008	COCONUT:(CNP0362219);TeroMol:(TKC198721 TKC198722 TKC198724 TKC198723);PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0433310);PUBCHEM:(528824 1753906 1753907 1753908 1753909 90241008);DSSTox:(DTXSID70336065)	137517596674	244.264	83	1.377	695994771652286103	695994640160851932	5	
1	1	0.641	0.641	-56.745	1.000	0.500	48.718	C14H31NO2	[M + H]+	C14H32NO2+	QNRXIVCOPVCHAA	InChI=1S/C14H31NO2/c1-4-5-6-7-8-9-10-15(11-13(2)16)12-14(3)17/h13-14,16-17H,4-12H2,1-3H3	(2S)-1-[[(2R)-2-hydroxypropyl]-octylamino]propan-2-ol	CCCCCCCCN(CC(C)O)CC(C)O	3.200	92178948;98051766;98051767;119970	NORMAN:(NS00047131);PUBCHEM:(92178948 98051766 98051767 119970);DSSTox:(DTXSID40885434)	137439215618	246.243	84	1.405	695994771736172187	695994640274098144	6	
1	2	0.547	0.547	-25.365	0.150	0.333	43.220	C6H3NO	[M + H3N + H]+	C6H7N2O+	GQTQLSCRSBJTTO	InChI=1S/C6H4NO/c8-5-6-1-3-7-4-2-6/h1-4H/q+1	Pyridin-4-ylmethanone	C1=CN=CC=C1[C+]=O	0.000	142244207	PUBCHEM:(142244207)	2	123.055	85	1.415	695994773162235696	695994640425093092	7	
1	2	0.136	0.136	-88.755	0.256	0.500	35.545	C14H28O	[M + H3N + H]+	C14H32NO+	LAYAKLSFVAPMEL	InChI=1S/C14H28O/c1-3-5-6-7-8-9-10-11-12-13-14-15-4-2/h4H,2-3,5-14H2,1H3	Dodecane, 1-(ethenyloxy)-	CCCCCCCCCCCCOC=C	6.400	69826	NORMAN:(NS00037803);PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(69826);DSSTox:(DTXSID4061098);PUBCHEMANNOTATIONFOOD;PUBMED	137640542274	230.248	85	1.419	695994771417405062	695994640639002600	8	
1	1	0.064	0.064	-260.872	0.999	0.333	55.368	C16H35NO3	[M - H2O + H]+	C16H34NO2+	OCHZTELGZBWSJD	InChI=1S/C16H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-15(19)16(20)14(17)13-18/h14-16,18-20H,2-13,17H2,1H3	2-aminohexadecane-1,3,4-triol	CCCCCCCCCCCCC(C(C(CO)N)O)O	3.600	163003966;163003967;163003968;11312307;11673695;72551566	COCONUT:(CNP0278039);MiMeDB:(MMDBc0033212);CHEBI:(76698 76699);SUPERNATURAL:(SN0261522);PUBCHEM:(163003966 163003967 163003968 11312307 11673695 72551566);YMDB:(YMDB01098)	1076953122	272.259	85	1.425	695994771820058274	695994640819357676	9	
1	1	0.299	0.299	-109.546	0.941	0.500	71.530	C17H37NO3	[M + H]+	C17H38NO3+	FUVVCZPEOKAHJS	InChI=1S/C17H37NO3/c1-2-3-4-5-6-7-8-9-10-11-14-21-16-17(20)15-18-12-13-19/h17-20H,2-16H2,1H3	(2R)-1-dodecoxy-3-(2-hydroxyethylamino)propan-2-ol	CCCCCCCCCCCCOCC(CNCCO)O	3.900	98095047;86740	NORMAN:(NS00052194);PUBCHEM:(98095047 86740);DSSTox:(DTXSID70885048)	137439215618	304.285	86	1.440	695994772851857122	695994641087793136	10	
1	3	0.985	0.989	-31.168	0.014	0.333	66.538	C16H29NO5	[M + H]+	C16H30NO5+	VCRXMSMANOGRCM	InChI=1S/C16H29NO5/c1-2-3-4-5-6-7-8-9-10-11-14(18)17-13(16(21)22)12-15(19)20/h13H,2-12H2,1H3,(H,17,18)(H,19,20)(H,21,22)	(2R)-2-(dodecanoylamino)butanedioic acid	CCCCCCCCCCCC(=O)NC(CC(=O)O)C(=O)O	3.800	154074684;539904;54385150;11370477;122212736	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0242029);PUBCHEM:(154074684 539904 54385150 11370477 122212736);PUBMED:(null)	16777290	316.212	90	1.500	695994781735393811	695994641251371000	12	
1	2	0.028	0.028	-260.250	0.400	0.333	118.257	C11H18N4O4	[M - H2O + H]+	C11H17N4O3+	GAZGHCHCYRSPIV	InChI=1S/C11H18N4O4/c1-9-12-6-11(15(17)18)14(9)8-10(16)7-13-2-4-19-5-3-13/h6,10,16H,2-5,7-8H2,1H3	Morinidazole	CC1=NC=C(N1CC(CN2CCOCC2)O)[N+](=O)[O-]	0.175	102486242;92044393;11644726	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0254886);BloodExposome:(11644726 92044393);MESH:(11644726);PUBCHEM:(102486242 92044393 11644726);DSSTox:(DTXSID201031280);PUBCHEMANNOTATIONDRUG;PUBMED	137493479502	253.129	91	1.519	695994786340740039	695994641398171644	13	
