"feature_id_full","feature_id","feature_mz","feature_rt","sDelta_vs_WT_p_value","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","sDelta_vs_WT_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"160_148.04_0.8",160,148.043070633532,0.7666405,6.70328712471739e-06,5.17371217788962,1.82676873178586,0.869294000892214,"Amino acids and Peptides","Small peptides","Aminoacids","bmse000397",NA,NA,"CS(=O)CCC(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)","QEFRNWWLZKMPFJ"
"53_276.87_0.5",53,276.871264091591,0.4901592,6.03057698954182e-05,4.21964113373279,1.68330256620167,0.751294518037976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138_386.03_0.7",138,386.026292241583,0.66483057,7.05618923387626e-05,4.1514297807495,1.79265300098982,0.842096256639479,"Carbohydrates","Nucleosides","Purine nucleos(t)ides","Phosaden","C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N",NA,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N","\"\"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1\"\"",NA,"ZJUKTBDSGOFHSH-WFMPWKQPSA-N","ZJUKTBDSGOFHSH",NA,NA,NA,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)","UDMBCSSLTHHNCD"
"57_208.88_0.5",57,208.883925866701,0.49018735,0.00012599491425743,3.89964698468014,1.73428674262529,0.794342449864849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158_137.05_0.8",158,137.046024287042,0.7652039,0.000194043314581902,3.71210131551199,1.69379708389545,0.760261050825676,"Alkaloids","Pseudoalkaloids","Purine alkaloids","Sarcine","C1=NC2=C(N1)C(=O)NC=N2",NA,"C1=NC2=C(N1)C(=O)N=CN2","InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",NA,"FDGQSTZJBFJUBT-UHFFFAOYSA-N","FDGQSTZJBFJUBT",NA,NA,NA,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT"
"149_174.9_0.7",149,174.896093940285,0.6999878,0.000334314931632359,3.47584422591798,1.72707816633954,0.78833337970438,NA,NA,NA,NA,"C(C[C@@H](C(=O)O)N)CN=C(N)N",NA,NA,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",NA,"ODKSFYDXXFIFQN-BYPYZUCNSA-N","ODKSFYDXXFIFQN",NA,NA,NA,NA,NA
"157_227.14_0.8",157,227.139338018935,0.76007766,0.000366930962102469,3.43541564037567,1.73611274390407,0.795860640057581,"Amino acids and Peptides","Small peptides","Aminoacids","null",NA,NA,"CCCC(=O)C(C)NC(=O)CCC(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C11H20N2O4/c1-3-4-9(14)7(2)13-10(15)6-5-8(12)11(16)17/h7-8H,3-6,12H2,1-2H3,(H,13,15)(H,16,17)","PYSJONOJEKCVCZ"
"51_190.91_0.5",51,190.911836501656,0.4897066,0.00037602750847935,3.42478038288141,1.64318378215539,0.716493847772001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222_308.09_1.4",222,308.091304407611,1.3683308,0.000642888716759753,3.19186419640678,1.6940885785575,0.760509310623277,"Amino acids and Peptides","Small peptides","Tripeptides","Glutinal","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","\"\"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1\"\"",NA,"RWSXRVCMGQZWBV-WDSKDSINSA-N","RWSXRVCMGQZWBV","RWSXRVCMGQZWBV","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1","RWSXRVCMGQZWBV-WDSKDSINSA-N","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)","RWSXRVCMGQZWBV"
"73_195.98_0.5",73,195.977354464213,0.52641565,0.00065414825352291,3.18432381377005,1.66686553674761,0.737137729224395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
